task,duration_seconds
edge_acquisition,0.5721
edge_acquisition,0.5862
edge_acquisition,0.5884
edge_acquisition,0.5916
edge_acquisition,0.6106
edge_acquisition,0.6072
edge_acquisition,0.6054
edge_acquisition,0.6210
integrity_out,0.3411
integrity_out,0.3745
integrity_out,0.3426
integrity_out,0.3669
integrity_out,0.3703
integrity_out,0.3803
edge_acquisition,0.6289
edge_acquisition,0.6375
integrity_out,0.3242
integrity_out,0.3196
compress_out,0.4878
compress_out,0.4989
decrypt_in,0.4888
decrypt_in,0.4995
compress_out,0.4841
decrypt_in,0.4850
compress_out,0.4823
decrypt_in,0.4828
encrypt_out,0.1173
decode_in,0.1185
integrity_out,0.3185
integrity_out,0.3279
encrypt_out,0.1185
decode_in,0.1190
compress_out,0.4585
decrypt_in,0.4596
compress_out,0.4655
decrypt_in,0.4662
encrypt_out,0.1037
decode_in,0.1044
encrypt_out,0.1077
decode_in,0.1083
encrypt_out,0.1037
encrypt_out,0.1084
decode_in,0.1048
decode_in,0.1097
encode_out,0.2670
compress_out,0.4504
decrypt_in,0.4515
encode_out,0.2624
compress_out,0.4679
decrypt_in,0.4690
encrypt_out,0.1087
decode_in,0.1099
encrypt_out,0.1607
decode_in,0.1616
compress_out,0.4550
decrypt_in,0.4561
encrypt_out,0.1204
decode_in,0.1211
encrypt_out,0.1655
decode_in,0.1662
encode_out,0.2923
encode_out,0.2942
compress_out,0.4533
decrypt_in,0.4539
encode_out,0.2734
decrypt_in,0.1018
encrypt_out,0.1141
decode_in,0.1148
encode_out,0.2668
decrypt_in,0.1006
encrypt_out,0.0958
decode_in,0.0964
encrypt_out,0.1749
decode_in,0.1764
encrypt_out,0.1776
decode_in,0.1781
encode_out,0.2606
encode_out,0.2609
encrypt_out,0.1759
decode_in,0.1767
encrypt_out,0.2044
decode_in,0.2050
decrypt_in,0.1147
decrypt_in,0.1142
encode_out,0.2646
decrypt_in,0.1294
encode_out,0.2687
encrypt_out,0.1741
decode_in,0.1748
decrypt_in,0.1153
encrypt_out,0.1905
decode_in,0.1912
decrypt_in,0.1164
encrypt_out,0.1750
decode_in,0.1760
encrypt_out,0.1806
decode_in,0.1815
decrypt_in,0.1129
decompress_in,0.6727
decompress_in,0.6544
decrypt_in,0.1036
decrypt_in,0.1062
decompress_in,0.6283
decompress_in,0.6421
decompress_in,0.6240
verify_in,0.3237
verify_in,0.3166
decompress_in,0.6311
decompress_in,0.6019
verify_in,0.3875
decompress_in,0.7517
verify_in,0.4388
verify_in,0.3824
decompress_in,0.9073
verify_in,0.4583
decompress_in,0.9222
verify_in,0.6317
verify_in,0.6176
verify_in,0.5796
verify_in,0.5787
fog_preprocessing,7.1690
fog_preprocessing,7.2941
fog_preprocessing,6.8002
integrity_out,0.0111
integrity_out,0.0103
fog_preprocessing,7.1691
integrity_out,0.0109
compress_out,0.0188
decrypt_in,0.0194
compress_out,0.0212
decrypt_in,0.0218
integrity_out,0.0094
compress_out,0.0139
decrypt_in,0.0143
encrypt_out,0.0096
decode_in,0.0101
encrypt_out,0.0226
decode_in,0.0232
compress_out,0.0137
decrypt_in,0.0142
encrypt_out,0.0093
decode_in,0.0097
encode_out,0.0195
encode_out,0.0199
encrypt_out,0.0084
decode_in,0.0089
encode_out,0.0218
encode_out,0.0203
encrypt_out,0.0323
decode_in,0.0329
encrypt_out,0.0390
decode_in,0.0395
fog_preprocessing,6.9899
integrity_out,0.0114
encrypt_out,0.0451
decode_in,0.0457
decrypt_in,0.0269
decrypt_in,0.0259
encrypt_out,0.0423
decode_in,0.0432
compress_out,0.0176
decrypt_in,0.0182
fog_preprocessing,6.7678
decrypt_in,0.0252
encrypt_out,0.0165
decode_in,0.0176
decrypt_in,0.0250
decompress_in,0.0314
decompress_in,0.0299
integrity_out,0.0117
decompress_in,0.0273
verify_in,0.0130
verify_in,0.0095
verify_in,0.0103
decompress_in,0.0333
encode_out,0.0421
compress_out,0.0267
decrypt_in,0.0276
encrypt_out,0.0143
decode_in,0.0149
encode_out,0.0399
verify_in,0.0637
encrypt_out,0.1693
decode_in,0.1699
decrypt_in,0.0162
encrypt_out,0.1335
decode_in,0.1404
decrypt_in,0.0166
decompress_in,0.0244
fog_preprocessing,6.7939
verify_in,0.0089
decompress_in,0.0216
integrity_out,0.0116
verify_in,0.0088
compress_out,0.0213
decrypt_in,0.0217
encrypt_out,0.0149
decode_in,0.0154
encode_out,0.0232
encrypt_out,0.0779
decode_in,0.0785
decrypt_in,0.0226
decompress_in,0.0220
verify_in,0.0089
fog_preprocessing,6.8586
integrity_out,0.0091
compress_out,0.0201
decrypt_in,0.0207
encrypt_out,0.0251
decode_in,0.0256
encode_out,0.0340
encrypt_out,0.0283
decode_in,0.0288
decrypt_in,0.0120
decompress_in,0.0234
verify_in,0.0129
fog_preprocessing,5.9506
integrity_out,0.0123
compress_out,0.0284
decrypt_in,0.0292
encrypt_out,0.0114
decode_in,0.0121
fog_preprocessing,5.9356
integrity_out,0.0091
encode_out,0.0315
compress_out,0.0184
decrypt_in,0.0190
encrypt_out,0.0163
decode_in,0.0175
encode_out,0.0252
cloud_inference,20.1835
encrypt_out,0.0333
decode_in,0.0341
encrypt_out,0.0240
decode_in,0.0246
decrypt_in,0.0233
decrypt_in,0.0088
decompress_in,0.0194
cloud_inference,20.3210
decompress_in,0.0169
verify_in,0.0098
verify_in,0.0085
cloud_inference,20.8711
cloud_inference,20.9141
cloud_inference,20.8691
cloud_inference,20.9833
cloud_inference,20.4988
cloud_inference,20.9985
cloud_inference,6.7298
cloud_inference,6.7770
