id,placement,nfr,baseline,makespan_s,total_energy_j,energy_Cloud_j,energy_Edge_j,energy_Fog_j,compliant,violations,pareto,score
0,preprocessing=Edge;inference=Fog;archiving=Edge,"RS(k=8,m=4)",0,354.031,92363.99,74346.55,2086.04,15931.40,1,,1,0.0000
1,preprocessing=Edge;inference=Fog;archiving=Edge,"SHA256 + RS(k=8,m=4)",0,356.083,92925.29,74777.47,2124.08,16023.74,1,,0,0.0035
2,preprocessing=Edge;inference=Fog;archiving=Edge,"BLAKE3 + RS(k=8,m=4)",0,356.057,92921.11,74771.94,2126.62,16022.56,1,,0,0.0035
3,preprocessing=Edge;inference=Fog;archiving=Edge,"LZ4 + RS(k=8,m=4)",0,536.417,165466.44,134349.43,5118.07,25998.94,1,,0,0.3390
4,preprocessing=Edge;inference=Fog;archiving=Edge,"LZ4 + SHA256 + RS(k=8,m=4)",0,538.454,166979.66,135647.01,5167.50,26165.15,1,,0,0.3436
5,preprocessing=Edge;inference=Fog;archiving=Edge,"LZ4 + BLAKE3 + RS(k=8,m=4)",0,538.428,167096.91,135751.97,5171.50,26173.44,1,,0,0.3437
6,preprocessing=Edge;inference=Fog;archiving=Edge,"ZSTD + RS(k=8,m=4)",0,719.937,273249.26,225848.74,8603.76,38796.76,0,Edge energy 8604J > budget 8000J,0,0.0000
7,preprocessing=Edge;inference=Fog;archiving=Edge,"ZSTD + SHA256 + RS(k=8,m=4)",0,720.018,273778.38,226317.63,8621.62,38839.13,0,Edge energy 8622J > budget 8000J,0,0.0000
8,preprocessing=Edge;inference=Fog;archiving=Edge,"ZSTD + BLAKE3 + RS(k=8,m=4)",0,720.017,273821.03,226355.60,8623.07,38842.36,0,Edge energy 8623J > budget 8000J,0,0.0000
9,preprocessing=Edge;inference=Fog;archiving=Edge,no NFRs,1,352.015,91810.35,73923.15,2046.52,15840.68,0,,0,0.0000
10,preprocessing=Edge;inference=Fog;archiving=Fog,"RS(k=8,m=4)",0,354.016,113633.06,92028.85,1883.74,19720.47,1,,1,0.0261
11,preprocessing=Edge;inference=Fog;archiving=Fog,"SHA256 + RS(k=8,m=4)",0,356.068,114712.61,92890.70,1916.76,19905.15,1,,0,0.0303
12,preprocessing=Edge;inference=Fog;archiving=Fog,"BLAKE3 + RS(k=8,m=4)",0,356.042,114700.76,92879.63,1918.36,19902.78,1,,0,0.0302
13,preprocessing=Edge;inference=Fog;archiving=Fog,"LZ4 + RS(k=8,m=4)",0,536.402,209121.66,168771.79,4184.49,36165.38,1,,0,0.3926
14,preprocessing=Edge;inference=Fog;archiving=Fog,"LZ4 + SHA256 + RS(k=8,m=4)",0,538.438,210193.15,169627.13,4217.34,36348.67,1,,0,0.3967
15,preprocessing=Edge;inference=Fog;archiving=Fog,"LZ4 + BLAKE3 + RS(k=8,m=4)",0,538.412,210181.37,169616.13,4218.93,36346.31,1,,0,0.3966
16,preprocessing=Edge;inference=Fog;archiving=Fog,"ZSTD + RS(k=8,m=4)",0,719.921,305377.01,246125.39,6510.46,52741.16,1,,0,0.7615
17,preprocessing=Edge;inference=Fog;archiving=Fog,"ZSTD + SHA256 + RS(k=8,m=4)",0,720.001,305429.86,246159.33,6522.10,52748.43,1,,0,0.7617
18,preprocessing=Edge;inference=Fog;archiving=Fog,"ZSTD + BLAKE3 + RS(k=8,m=4)",0,720.000,305430.24,246158.90,6523.00,52748.34,1,,0,0.7617
19,preprocessing=Edge;inference=Fog;archiving=Fog,no NFRs,1,352.000,112519.68,91140.00,1849.68,19530.00,0,,0,0.0000
20,preprocessing=Edge;inference=Fog;archiving=Cloud,"RS(k=8,m=4)",0,354.021,103713.07,86134.17,1647.95,15930.95,1,,1,0.0140
21,preprocessing=Edge;inference=Fog;archiving=Cloud,"SHA256 + RS(k=8,m=4)",0,356.073,104551.83,86853.32,1675.22,16023.29,1,,0,0.0178
22,preprocessing=Edge;inference=Fog;archiving=Cloud,"BLAKE3 + RS(k=8,m=4)",0,356.047,104541.74,86842.74,1676.89,16022.11,1,,0,0.0177
23,preprocessing=Edge;inference=Fog;archiving=Cloud,"LZ4 + RS(k=8,m=4)",0,536.407,177591.04,150016.59,3436.14,24138.31,1,,0,0.3538
24,preprocessing=Edge;inference=Fog;archiving=Cloud,"LZ4 + SHA256 + RS(k=8,m=4)",0,538.444,178423.57,150730.32,3463.29,24229.96,1,,0,0.3577
25,preprocessing=Edge;inference=Fog;archiving=Cloud,"LZ4 + BLAKE3 + RS(k=8,m=4)",0,538.417,178413.57,150719.84,3464.95,24228.78,1,,0,0.3576
26,preprocessing=Edge;inference=Fog;archiving=Cloud,"ZSTD + RS(k=8,m=4)",0,719.926,252118.05,214476.82,5244.58,32396.66,1,,0,0.6961
27,preprocessing=Edge;inference=Fog;archiving=Cloud,"ZSTD + SHA256 + RS(k=8,m=4)",0,720.007,252161.45,214505.16,5255.99,32400.30,1,,0,0.6962
28,preprocessing=Edge;inference=Fog;archiving=Cloud,"ZSTD + BLAKE3 + RS(k=8,m=4)",0,720.006,252161.87,214504.72,5256.90,32400.25,1,,0,0.6962
29,preprocessing=Edge;inference=Fog;archiving=Cloud,no NFRs,1,352.005,102861.37,85401.05,1620.09,15840.23,0,,0,0.0000
30,preprocessing=Edge;inference=Cloud;archiving=Edge,"RS(k=8,m=4)",0,354.054,132378.03,123918.80,2086.26,6372.97,1,,0,0.0492
31,preprocessing=Edge;inference=Cloud;archiving=Edge,"SHA256 + RS(k=8,m=4)",0,356.112,133173.69,124639.35,2124.32,6410.02,1,,0,0.0530
32,preprocessing=Edge;inference=Cloud;archiving=Edge,"BLAKE3 + RS(k=8,m=4)",0,356.076,133162.95,124626.75,2126.83,6409.38,1,,0,0.0529
33,preprocessing=Edge;inference=Cloud;archiving=Edge,"LZ4 + RS(k=8,m=4)",0,536.161,226052.84,209418.32,5118.31,11516.21,1,,0,0.4130
34,preprocessing=Edge;inference=Cloud;archiving=Edge,"LZ4 + SHA256 + RS(k=8,m=4)",0,538.205,227797.11,211001.94,5167.74,11627.43,1,,0,0.4180
35,preprocessing=Edge;inference=Cloud;archiving=Edge,"LZ4 + BLAKE3 + RS(k=8,m=4)",0,538.169,227910.07,211101.90,5171.74,11636.42,1,,0,0.4181
