dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
cost-efficiency,compress,BZ2,BZ2,1048576.0,0.176892,1.804571986198,1.627679986198,1.627679986198,920.1546628439953
cost-efficiency,decompress,BZ2,BZ2,1048576.0,0.006886,0.062744997442,0.055858997442,0.055858997442,811.196593697357
cost-efficiency,compress,BZ2,BZ2,10485760.0,1.804572,1.819132685661,0.014560685660999884,0.014560685660999884,0.8068775122854551
cost-efficiency,decompress,BZ2,BZ2,10485760.0,0.062745,0.070323877037,0.007578877036999998,0.007578877036999998,12.07885415092836
cost-efficiency,compress,BZ2,BZ2,52428800.0,9.11798,9.057485580444,-0.0604944195559991,0.0604944195559991,0.6634629551282094
cost-efficiency,decompress,BZ2,BZ2,52428800.0,0.35227,0.33024635911,-0.02202364089000003,0.02202364089000003,6.251920654611527
cost-efficiency,compress,BZ2,BZ2,104857600.0,18.123627,18.122423171997,-0.001203828002999785,0.001203828002999785,0.006642312838372722
cost-efficiency,decompress,BZ2,BZ2,104857600.0,0.664623,0.658378958702,-0.006244041297999936,0.006244041297999936,0.9394861896142529
cost-efficiency,compress,BZ2,BZ2,1048576000.0,180.202396,18.123626708984,-162.078769291016,162.078769291016,89.94262722845039
cost-efficiency,decompress,BZ2,BZ2,1048576000.0,6.16834,0.664623022079,-5.503716977921,5.503716977921,89.22525311381992
cost-efficiency,compress,LZ4,LZ4,1048576.0,0.000101,0.000984000042,0.0008830000419999999,0.0008830000419999999,874.2574673267326
cost-efficiency,decompress,LZ4,LZ4,1048576.0,0.000152,0.00147899997,0.00132699997,0.00132699997,873.0262960526314
cost-efficiency,compress,LZ4,LZ4,10485760.0,0.000984,0.001084204065,0.00010020406499999996,0.00010020406499999996,10.183339939024386
cost-efficiency,decompress,LZ4,LZ4,10485760.0,0.001479,0.004931551404,0.003452551404,0.003452551404,233.4382288032454
cost-efficiency,compress,LZ4,LZ4,52428800.0,0.005454,0.005320444703,-0.00013355529699999973,0.00013355529699999973,2.4487586541987483
cost-efficiency,decompress,LZ4,LZ4,52428800.0,0.026174,0.023276777938,-0.0028972220620000003,0.0028972220620000003,11.069084060518072
cost-efficiency,compress,LZ4,LZ4,104857600.0,0.010741,0.01053952612,-0.00020147388000000058,0.00020147388000000058,1.8757460199236624
cost-efficiency,decompress,LZ4,LZ4,104857600.0,0.050524,0.04978594929,-0.0007380507100000003,0.0007380507100000003,1.4607923165228414
cost-efficiency,compress,LZ4,LZ4,1048576000.0,0.102079,0.010741000064,-0.091337999936,0.091337999936,89.4777573604757
cost-efficiency,decompress,LZ4,LZ4,1048576000.0,0.474801,0.050524000078,-0.42427699992199996,0.42427699992199996,89.35891034812478
cost-efficiency,compress,LZMA,LZMA,1048576.0,0.016608,0.153055995703,0.13644799570299998,0.13644799570299998,821.5799355912811
cost-efficiency,decompress,LZMA,LZMA,1048576.0,0.001119,0.01060700044,0.00948800044,0.00948800044,847.8999499553172
cost-efficiency,compress,LZMA,LZMA,10485760.0,0.153056,0.150245502591,-0.0028104974089999957,0.0028104974089999957,1.836254318027386
cost-efficiency,decompress,LZMA,LZMA,10485760.0,0.010607,0.011744693853,0.0011376938529999991,0.0011376938529999991,10.725877750542088
cost-efficiency,compress,LZMA,LZMA,52428800.0,0.74419,0.739858269691,-0.004331730309000026,0.004331730309000026,0.5820731680081734
cost-efficiency,decompress,LZMA,LZMA,52428800.0,0.05897,0.058120775968,-0.0008492240320000025,0.0008492240320000025,1.440095017805668
cost-efficiency,compress,LZMA,LZMA,104857600.0,1.473361,1.493313074112,0.019952074112000062,0.019952074112000062,1.354187745705232
cost-efficiency,decompress,LZMA,LZMA,104857600.0,0.117513,0.116184949875,-0.0013280501250000076,0.0013280501250000076,1.1301303898292168
cost-efficiency,compress,LZMA,LZMA,1048576000.0,14.977528,1.47336101532,-13.50416698468,13.50416698468,90.16285587768556
cost-efficiency,decompress,LZMA,LZMA,1048576000.0,1.146054,0.117513000965,-1.0285409990349998,1.0285409990349998,89.7462945930122
cost-efficiency,compress,ZLIB,ZLIB,1048576.0,0.004977,0.049853999168,0.044876999168,0.044876999168,901.6877469961825
cost-efficiency,decompress,ZLIB,ZLIB,1048576.0,0.000815,0.007300999947,0.006485999947,0.006485999947,795.8282143558283
cost-efficiency,compress,ZLIB,ZLIB,10485760.0,0.049854,0.04953122139,-0.00032277861000000463,0.00032277861000000463,0.6474477674810539
cost-efficiency,decompress,ZLIB,ZLIB,10485760.0,0.007301,0.008387305774,0.0010863057740000005,0.0010863057740000005,14.878862813313251
cost-efficiency,compress,ZLIB,ZLIB,52428800.0,0.24755,0.247634887695,8.48876950000077e-05,8.48876950000077e-05,0.034291131084632484
cost-efficiency,decompress,ZLIB,ZLIB,52428800.0,0.042042,0.040580108762,-0.0014618912380000015,0.0014618912380000015,3.4772162076019257
cost-efficiency,compress,ZLIB,ZLIB,104857600.0,0.494861,0.495103061199,0.00024206119899999878,0.00024206119899999878,0.048914988047148354
