level,dataset,operation,group,label,samples,mae_seconds,rmse_seconds,mape_percent
operation,cost-efficiency,compress,all,cost-efficiency:compress,25,7.288079971570279,32.541944891211976,178.993864467807
operation,cost-efficiency,decompress,all,cost-efficiency:decompress,25,0.31583286061043997,1.1325466820654067,177.89598841880962
operation,integrity,hash,all,integrity:hash,20,0.16214618925455,0.46623661337200667,196.31022563735365
operation,reliability,decode,all,reliability:decode,15,0.023678113839466667,0.052183212307150714,215.0267200987909
operation,reliability,encode,all,reliability:encode,15,0.41144817069306666,0.925274901036616,205.23987001809772
group,cost-efficiency,compress,BZ2,BZ2,5,32.756541642086795,72.48748950000328,202.31485457053955
group,cost-efficiency,compress,LZ4,LZ4,5,0.018531246644,0.04084967170242432,195.648613860071
group,cost-efficiency,compress,LZMA,LZMA,5,2.7335418564426,6.039562380730862,183.1030613401415
group,cost-efficiency,compress,ZLIB,ZLIB,5,0.9003447439869999,1.9929729430078122,198.48466902889325
group,cost-efficiency,compress,ZSTD,ZSTD,5,0.031440368691,0.06949030380837166,115.41812353938963
group,cost-efficiency,decompress,BZ2,BZ2,5,1.1190845069175999,2.4614874474121544,183.9384215612662
group,cost-efficiency,decompress,LZ4,LZ4,5,0.08653836481359999,0.18975436348999064,241.6706623162085
group,cost-efficiency,decompress,LZMA,LZMA,5,0.20826879349699995,0.4599979104505061,190.18846954130126
group,cost-efficiency,decompress,ZLIB,ZLIB,5,0.14685351233820002,0.3242863425982512,180.83457019536414
group,cost-efficiency,decompress,ZSTD,ZSTD,5,0.0184191254858,0.04028713741543738,92.84781847990793
group,integrity,hash,BLAKE3,BLAKE3,5,0.045893468257600004,0.1013200418735395,191.9440305436779
group,integrity,hash,HMAC_SHA256,HMAC_SHA256,5,0.1056349178314,0.233774078474493,197.2386225415829
group,integrity,hash,SHA256,SHA256,5,0.1057342926114,0.23401870738621036,198.6367114844898
group,integrity,hash,SHA3_256,SHA3_256,5,0.39132207831779997,0.8659246459916851,197.42153797966387
group,reliability,decode,RS:10:4,RS k=10 m=4,5,0.0222579251626,0.04882820019151835,246.71516925645113
group,reliability,decode,RS:4:2,RS k=4 m=2,5,0.0265367319572,0.058547460051064135,166.37333772236644
group,reliability,decode,RS:8:4,RS k=8 m=4,5,0.0222396843986,0.04855167069942653,231.99165331755506
group,reliability,encode,RS:10:4,RS k=10 m=4,5,0.4661064162702,1.0260748511623543,201.6028232248679
group,reliability,encode,RS:4:2,RS k=4 m=2,5,0.28610767098,0.6265438492636728,206.43458113069482
group,reliability,encode,RS:8:4,RS k=8 m=4,5,0.482130424829,1.0597236112435031,207.68220569873037
overall,overall,all,all,overall,100,1.9986763885759697,16.28611413590988,191.52449686665815
