dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
cost-efficiency,compress,BZ2,BZ2,1048576.0,0.18887,2.049348115921,1.860478115921,1.860478115921,985.0575082972414
cost-efficiency,decompress,BZ2,BZ2,1048576.0,0.010212,0.091187000275,0.080975000275,0.080975000275,792.9396815021544
cost-efficiency,compress,BZ2,BZ2,10485760.0,2.049348,1.954651713371,-0.0946962866290002,0.0946962866290002,4.620800695099134
cost-efficiency,decompress,BZ2,BZ2,10485760.0,0.091187,0.097623854876,0.0064368548760000005,0.0064368548760000005,7.058961119457818
cost-efficiency,compress,BZ2,BZ2,52428800.0,9.802571,9.86899471283,0.06642371282999981,0.06642371282999981,0.6776152177831695
cost-efficiency,decompress,BZ2,BZ2,52428800.0,0.486121,0.484861671925,-0.0012593280750000102,0.0012593280750000102,0.2590565054790906
cost-efficiency,compress,BZ2,BZ2,104857600.0,19.643553,19.836414337158,0.1928613371579999,0.1928613371579999,0.9818047537428688
cost-efficiency,decompress,BZ2,BZ2,104857600.0,0.976955,0.971976518631,-0.004978481369000032,0.004978481369000032,0.5095916770987436
cost-efficiency,compress,BZ2,BZ2,1048576000.0,200.445598,19.643552780151,-180.802045219849,180.802045219849,90.20005778318414
cost-efficiency,decompress,BZ2,BZ2,1048576000.0,9.717377,0.976954996586,-8.740422003414,8.740422003414,89.94630962052825
cost-efficiency,compress,LZ4,LZ4,1048576.0,0.000118,0.001200999948,0.001082999948,0.001082999948,917.796566101695
cost-efficiency,decompress,LZ4,LZ4,1048576.0,0.001356,0.00267899991,0.0013229999099999999,0.0013229999099999999,97.56636504424779
cost-efficiency,compress,LZ4,LZ4,10485760.0,0.001201,0.001321061165,0.00012006116500000007,0.00012006116500000007,9.996766444629483
cost-efficiency,decompress,LZ4,LZ4,10485760.0,0.002679,0.007673632819,0.004994632819,0.004994632819,186.43646207540127
cost-efficiency,compress,LZ4,LZ4,52428800.0,0.006668,0.006430777721,-0.00023722227900000066,0.00023722227900000066,3.557622660467916
cost-efficiency,decompress,LZ4,LZ4,52428800.0,0.035752,0.032929670066,-0.0028223299340000008,0.0028223299340000008,7.894187553143881
cost-efficiency,compress,LZ4,LZ4,104857600.0,0.012968,0.013016316108,4.8316107999999205e-05,4.8316107999999205e-05,0.37257948797038254
cost-efficiency,decompress,LZ4,LZ4,104857600.0,0.070743,0.073263421655,0.0025204216549999936,0.0025204216549999936,3.562785936417728
cost-efficiency,compress,LZ4,LZ4,1048576000.0,0.127286,0.012968000025,-0.11431799997500001,0.11431799997500001,89.81191959445658
cost-efficiency,decompress,LZ4,LZ4,1048576000.0,0.748469,0.070743001997,-0.677725998003,0.677725998003,90.54830567505134
cost-efficiency,compress,LZMA,LZMA,1048576.0,0.022068,0.193905994296,0.171837994296,0.171837994296,778.6749786840674
cost-efficiency,decompress,LZMA,LZMA,1048576.0,0.001748,0.005022999831,0.003274999831,0.003274999831,187.3569697368421
cost-efficiency,compress,LZMA,LZMA,10485760.0,0.193906,0.183248251677,-0.010657748322999983,0.010657748322999983,5.496347881447703
cost-efficiency,decompress,LZMA,LZMA,10485760.0,0.005023,0.010429327376,0.005406327376000001,0.005406327376000001,107.63144288273942
cost-efficiency,compress,LZMA,LZMA,52428800.0,0.899605,0.897582054138,-0.002022945862000025,0.002022945862000025,0.22487045558884458
cost-efficiency,decompress,LZMA,LZMA,52428800.0,0.049013,0.04294655472,-0.006066445279999999,0.006066445279999999,12.377216820027337
cost-efficiency,compress,LZMA,LZMA,104857600.0,1.777177,1.777768611908,0.0005916119080000559,0.0005916119080000559,0.033289419568228486
cost-efficiency,decompress,LZMA,LZMA,104857600.0,0.090351,0.102056264877,0.011705264876999993,0.011705264876999993,12.955324099345876
cost-efficiency,compress,LZMA,LZMA,1048576000.0,17.584714,1.777176976204,-15.807537023796002,15.807537023796002,89.89362592872423
cost-efficiency,decompress,LZMA,LZMA,1048576000.0,1.056835,0.090351000428,-0.9664839995719999,0.9664839995719999,91.45079407589643
cost-efficiency,compress,ZLIB,ZLIB,1048576.0,0.003851,0.03877799958,0.03492699958,0.03492699958,906.9592204622177
cost-efficiency,decompress,ZLIB,ZLIB,1048576.0,0.000815,0.008290999569,0.007475999569,0.007475999569,917.3005606134969
