level,dataset,operation,group,label,samples,mae_seconds,rmse_seconds,mape_percent
operation,cost-efficiency,compress,all,cost-efficiency:compress,25,8.11188316874912,36.3069875210589,182.88674603066463
operation,cost-efficiency,decompress,all,cost-efficiency:decompress,25,0.47993454711696004,1.780508836932966,123.13007668798213
operation,integrity,hash,all,integrity:hash,20,0.16096725831375,0.47040970702809115,170.68163817956835
operation,reliability,decode,all,reliability:decode,15,0.07304719855746668,0.1611528457851189,282.33424116317923
operation,reliability,encode,all,reliability:encode,15,0.4302318221994667,0.9676032303009583,198.4362426368069
group,cost-efficiency,compress,BZ2,BZ2,5,36.603300934477396,80.86147600618213,216.30755734941013
group,cost-efficiency,compress,LZ4,LZ4,5,0.023161319895000004,0.05112700075441695,204.3070908578439
group,cost-efficiency,compress,LZMA,LZMA,5,3.1985294648370006,7.0697648204856005,174.86462247387925
group,cost-efficiency,compress,ZLIB,ZLIB,5,0.7033655543419999,1.5554856950048561,199.63800579546094
group,cost-efficiency,compress,ZSTD,ZSTD,5,0.031058570194200004,0.0684692538096963,119.31645367672884
group,cost-efficiency,decompress,BZ2,BZ2,5,1.7668143336018,3.9090050282064817,178.14272008494365
group,cost-efficiency,decompress,LZ4,LZ4,5,0.1378772764642,0.30310181230949323,77.2016212568524
group,cost-efficiency,decompress,LZMA,LZMA,5,0.1985874073872,0.43227423943891335,82.35434952297024
group,cost-efficiency,decompress,ZLIB,ZLIB,5,0.2376760032296,0.5247798594311158,210.29526295309324
group,cost-efficiency,decompress,ZSTD,ZSTD,5,0.05871771490200001,0.12889008443642844,67.65642962205112
group,integrity,hash,BLAKE3,BLAKE3,5,0.051018832198600005,0.11285700807107316,96.08788619111672
group,integrity,hash,HMAC_SHA256,HMAC_SHA256,5,0.09688417087339998,0.21430500678395906,195.59030914725037
group,integrity,hash,SHA256,SHA256,5,0.09675512664319999,0.2141146675093623,194.45651694773323
group,integrity,hash,SHA3_256,SHA3_256,5,0.39921090353980004,0.883534231831991,196.59184043217311
group,reliability,decode,RS:10:4,RS k=10 m=4,5,0.0730628832904,0.16116382771251136,289.1085334472088
group,reliability,decode,RS:4:2,RS k=4 m=2,5,0.073386452653,0.16198948387692189,283.56419784829217
group,reliability,decode,RS:8:4,RS k=8 m=4,5,0.072692259729,0.16030080119658588,274.3299921940366
group,reliability,encode,RS:10:4,RS k=10 m=4,5,0.49292447712199994,1.084654026891987,196.8802802017619
group,reliability,encode,RS:4:2,RS k=4 m=2,5,0.29938257618060005,0.6567005324043635,201.26526873257313
group,reliability,encode,RS:8:4,RS k=8 m=4,5,0.49838841329579997,1.095918832100886,197.1631789760856
overall,overall,all,all,overall,100,2.25563973374281,18.180497233005564,182.75610588557328
