dataset,operation,group,label,size_bytes,actual_seconds,predicted_seconds,error_seconds,abs_error_seconds,ape_percent
cost-efficiency,compress,BZ2,BZ2,1048576.0,0.616038,6.555685043335,5.939647043335,5.939647043335,964.1689381718336
cost-efficiency,decompress,BZ2,BZ2,1048576.0,0.016492,0.160255998373,0.143763998373,0.143763998373,871.7196117693428
cost-efficiency,compress,BZ2,BZ2,10485760.0,6.555685,6.856718063354,0.3010330633539997,0.3010330633539997,4.59193910863624
cost-efficiency,decompress,BZ2,BZ2,10485760.0,0.160256,0.170582100749,0.010326100748999978,0.010326100748999978,6.443503362744594
cost-efficiency,compress,BZ2,BZ2,52428800.0,34.593073,35.027366638184,0.4342936381840019,0.4342936381840019,1.2554352664303687
cost-efficiency,decompress,BZ2,BZ2,52428800.0,0.855427,0.870075583458,0.014648583457999909,0.014648583457999909,1.7124294016906068
cost-efficiency,compress,BZ2,BZ2,104857600.0,70.61697,70.106887817383,-0.5100821826169977,0.5100821826169977,0.7223223859888037
cost-efficiency,decompress,BZ2,BZ2,104857600.0,1.75735,1.715989351273,-0.04136064872699996,0.04136064872699996,2.353580603010212
cost-efficiency,compress,BZ2,BZ2,1048576000.0,709.355476,70.616966247559,-638.7385097524409,638.7385097524409,90.04491138268747
cost-efficiency,decompress,BZ2,BZ2,1048576000.0,17.206112,1.757349967957,-15.448762032043001,15.448762032043001,89.78647838653498
cost-efficiency,compress,LZ4,LZ4,1048576.0,0.000234,0.002272000071,0.002038000071,0.002038000071,870.9402012820514
cost-efficiency,decompress,LZ4,LZ4,1048576.0,0.00109,0.004772000015,0.003682000015,0.003682000015,337.79816651376143
cost-efficiency,compress,LZ4,LZ4,10485760.0,0.002272,0.002340183593,6.818359299999967e-05,6.818359299999967e-05,3.0010384242957597
cost-efficiency,decompress,LZ4,LZ4,10485760.0,0.004772,0.005941551179,0.0011695511790000002,0.0011695511790000002,24.508616492036882
cost-efficiency,compress,LZ4,LZ4,52428800.0,0.011701,0.011996444315,0.00029544431500000065,0.00029544431500000065,2.5249492778395064
cost-efficiency,decompress,LZ4,LZ4,52428800.0,0.027504,0.028203556314,0.0006995563140000001,0.0006995563140000001,2.543471182373473
cost-efficiency,compress,LZ4,LZ4,104857600.0,0.024152,0.024499736726,0.00034773672600000097,0.00034773672600000097,1.4397843905266685
cost-efficiency,decompress,LZ4,LZ4,104857600.0,0.057493,0.056390367448,-0.0011026325520000005,0.0011026325520000005,1.9178553076026654
cost-efficiency,compress,LZ4,LZ4,1048576000.0,0.254877,0.024151999503,-0.230725000497,0.230725000497,90.52405689685614
cost-efficiency,decompress,LZ4,LZ4,1048576000.0,0.576345,0.057493001223,-0.518851998777,0.518851998777,90.02455105483695
cost-efficiency,compress,LZMA,LZMA,1048576.0,0.029284,0.273768007755,0.24448400775499998,0.24448400775499998,834.8723116889769
cost-efficiency,decompress,LZMA,LZMA,1048576.0,0.002633,0.019244000316,0.016611000316,0.016611000316,630.8773382453476
cost-efficiency,compress,LZMA,LZMA,10485760.0,0.273768,0.272682756186,-0.001085243813999992,0.001085243813999992,0.3964100311212384
cost-efficiency,decompress,LZMA,LZMA,10485760.0,0.019244,0.021597102284,0.002353102284,0.002353102284,12.227719205986281
cost-efficiency,compress,LZMA,LZMA,52428800.0,1.354455,1.352289915085,-0.002165084914999893,0.002165084914999893,0.15984915814847248
cost-efficiency,decompress,LZMA,LZMA,52428800.0,0.105882,0.104135118425,-0.0017468815749999977,0.0017468815749999977,1.6498380980714358
