level,dataset,operation,group,label,samples,mae_seconds,rmse_seconds,mape_percent
operation,cost-efficiency,compress,all,cost-efficiency:compress,25,27.070435751939517,127.84884107054137,184.54389130805578
operation,cost-efficiency,decompress,all,cost-efficiency:decompress,25,0.77081024374764,3.120191936568209,142.45938638040735
operation,integrity,hash,all,integrity:hash,20,0.32428760398635,0.8578057674559629,194.23007288595636
operation,reliability,decode,all,reliability:decode,15,0.0529736953484,0.1155175201806521,198.99638094957714
operation,reliability,encode,all,reliability:encode,15,0.3972714855191333,0.9010442979526367,201.6801119681779
group,cost-efficiency,compress,BZ2,BZ2,5,129.1847131359862,285.6650845530377,212.15670926311532
group,cost-efficiency,compress,LZ4,LZ4,5,0.0466948730404,0.10318758855192449,193.68600605431388
group,cost-efficiency,compress,LZMA,LZMA,5,4.8462965807703995,10.720355059085994,185.161087034863
group,cost-efficiency,compress,ZLIB,ZLIB,5,1.2084642871722,2.670706467194584,204.32794732635074
group,cost-efficiency,compress,ZSTD,ZSTD,5,0.0660098827284,0.14473908709765188,127.38770686163608
group,cost-efficiency,decompress,BZ2,BZ2,5,3.13177227267,6.909224968439496,194.40312070466464
group,cost-efficiency,decompress,LZ4,LZ4,5,0.10510114776739998,0.23204483479988944,91.35853211012228
group,cost-efficiency,decompress,LZMA,LZMA,5,0.37435426100639996,0.8271696382071111,147.05508048329676
group,cost-efficiency,decompress,ZLIB,ZLIB,5,0.1986537808994,0.4393141492431183,227.99306442677852
group,cost-efficiency,decompress,ZSTD,ZSTD,5,0.044169756394999996,0.09771183738119806,51.487134177174504
group,integrity,hash,BLAKE3,BLAKE3,5,0.42442053572739996,0.9393636337906571,197.4820509916978
group,integrity,hash,HMAC_SHA256,HMAC_SHA256,5,0.12429734108700001,0.27518256038272243,190.3188907156437
group,integrity,hash,SHA256,SHA256,5,0.12430366208799999,0.2751950475873626,192.52103343044334
group,integrity,hash,SHA3_256,SHA3_256,5,0.6241288770429999,1.3818325319947655,196.59831640604065
group,reliability,decode,RS:10:4,RS k=10 m=4,5,0.05302707465940001,0.11470123626359813,221.81376011987587
group,reliability,decode,RS:4:2,RS k=4 m=2,5,0.05299626330999999,0.11641447730210384,191.69139451154805
group,reliability,decode,RS:8:4,RS k=8 m=4,5,0.0528977480758,0.11543044780361154,183.4839882173075
group,reliability,encode,RS:10:4,RS k=10 m=4,5,0.46104024589799997,1.0190610597098448,201.0168947877995
group,reliability,encode,RS:4:2,RS k=4 m=2,5,0.266847584135,0.589009782558728,204.35798393381336
group,reliability,encode,RS:8:4,RS k=8 m=4,5,0.46392662652440003,1.0248046219899907,199.66545718292087
overall,overall,all,all,overall,100,7.092705796849189,63.94557365538275,180.6983079369703
