validation_scope,scenario,model,servers,rho,baseline_type,theoretical_waiting_time,theoretical_response_time,observed_waiting_time,observed_response_time,waiting_error_percent,response_error_percent
reference,mm1_rho_0.2,mm1,1,0.2,theoretical,0.05,0.25,0.050115511615990586,0.2502342521009919,0.23102323198116725,0.09370084039677096
reference,mm1_rho_0.4,mm1,1,0.4,theoretical,0.13333333333333333,0.3333333333333333,0.12852982718973585,0.32621051762248326,3.60262960769811,2.136844713255015
reference,mm1_rho_0.6,mm1,1,0.6,theoretical,0.3,0.5,0.29261392191834545,0.49268821859089634,2.462026027218178,1.4623562818207314
reference,mm1_rho_0.8,mm1,1,0.8,theoretical,0.8,1.0,0.8367136899088639,1.0374615519428048,4.589211238607977,3.746155194280476
reference,mm1_rho_0.9,mm1,1,0.9,theoretical,1.8,2.0,1.8809502634886361,2.08291644223716,4.4972368604797825,4.145822111858011
reference,md1_rho_0.2,md1,1,0.2,theoretical,0.025000000000000005,0.225,0.026184096489690254,0.22618409648895588,4.736385958760996,0.5262651062026096
reference,md1_rho_0.4,md1,1,0.4,theoretical,0.06666666666666668,0.2666666666666667,0.06588436387526807,0.2658843638757627,1.1734541870979176,0.293363546589008
reference,md1_rho_0.6,md1,1,0.6000000000000001,theoretical,0.15000000000000005,0.3500000000000001,0.14466212176451937,0.3446621217648587,3.5585854903204526,1.5251080671832478
reference,md1_rho_0.8,md1,1,0.8,theoretical,0.4000000000000002,0.6000000000000002,0.4138807913633406,0.6138807913635197,3.4701978408351026,2.3134652272532485
reference,md1_rho_0.9,md1,1,0.9,theoretical,0.9000000000000004,1.1000000000000003,0.8931080695053949,1.0931080695055002,0.7657700549561618,0.6265391358636451
reference,mmc_c2_rho_0.4,mmc,2,0.4,theoretical,0.0380952380952381,0.2380952380952381,0.03670699915925487,0.23662492655414014,3.6441272069559743,0.617530847261149
reference,mmc_c2_rho_0.6,mmc,2,0.6,theoretical,0.11249999999999999,0.3125,0.10800591553130172,0.30739188671348167,3.994741749954018,1.634596251685867
reference,mmc_c2_rho_0.8,mmc,2,0.8,theoretical,0.3555555555555556,0.5555555555555556,0.32818608284711265,0.5265651223107741,7.697664199249586,5.218277984060662
reference,mmc_c2_rho_0.9,mmc,2,0.9,theoretical,0.8526315789473684,1.0526315789473684,0.7628512937953621,0.9613475014131356,10.52978653017358,8.67198736575211
reference,mgc_c2_zlib_compress_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.41124628851809614,1.560906288518096,0.41645597818752067,1.5604239302090488,1.2668052733551394,0.030902451517774168
reference,mgc_c2_zlib_compress_rho_0.70,mgc,2,0.7,allen-cunneen-approx,2.074374661201572,3.224034661201572,2.0679907050207142,3.212175898642558,0.30775328585819467,0.3678236683284972
reference,mgc_c2_zlib_compress_rho_0.85,mgc,2,0.85,allen-cunneen-approx,5.621292173460185,6.770952173460185,5.655023414566714,6.813202473211073,0.6000620509601738,0.623993474898478
reference,mgc_c2_sha256_hash_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.048287592784075836,0.1834341927840758,0.049195782737632525,0.18512235640434457,1.8807935976800014,0.9203102184203714
reference,mgc_c2_sha256_hash_rho_0.70,mgc,2,0.7,allen-cunneen-approx,0.2435682988961471,0.37871489889614707,0.24798657781112116,0.3823065381445015,1.8139794607909696,0.9483754821431897
reference,mgc_c2_sha256_hash_rho_0.85,mgc,2,0.85,allen-cunneen-approx,0.6600391905553067,0.7951857905553067,0.608876384808269,0.7437485676305436,7.751479984695029,6.468579234651892
reference,mgc_c2_rs84_encode_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.21881773824083844,0.8091811382408385,0.22991747085155034,0.8207602585852132,5.072592697441715,1.4309676532435895
reference,mgc_c2_rs84_encode_rho_0.70,mgc,2,0.7,allen-cunneen-approx,1.103742414950111,1.694105814950111,1.213368780481295,1.810714803259181,9.932241802643698,6.883217522779364
reference,mgc_c2_rs84_encode_rho_0.85,mgc,2,0.85,allen-cunneen-approx,2.991001922035243,3.581365322035243,2.64616069257088,3.2359845838154047,11.52928812662595,9.643828740251577
simulator,mm1_rho_0.2,mm1,1,0.2,theoretical,0.05,0.25,0.05023,0.25023,0.4599999999999882,0.09200000000000319
simulator,mm1_rho_0.4,mm1,1,0.4,theoretical,0.13333333333333333,0.3333333333333333,0.134202,0.334202,0.6514999999999924,0.26060000000000527
simulator,mm1_rho_0.6,mm1,1,0.6,theoretical,0.3,0.5,0.302576,0.502576,0.8586666666666742,0.5152000000000045
simulator,mm1_rho_0.8,mm1,1,0.8,theoretical,0.8,1.0,0.769662,0.969662,3.792250000000011,3.0337999999999976
simulator,mm1_rho_0.9,mm1,1,0.9,theoretical,1.8,2.0,1.566448,1.766448,12.97511111111111,11.677599999999998
