validation_scope,scenario,model,servers,rho,baseline_type,theoretical_waiting_time,theoretical_response_time,observed_waiting_time,observed_response_time,waiting_error_percent,response_error_percent
reference,mm1_rho_0.2,mm1,1,0.2,theoretical,0.05,0.25,0.050115511615990586,0.2502342521009919,0.23102323198116725,0.09370084039677096
reference,mm1_rho_0.4,mm1,1,0.4,theoretical,0.13333333333333333,0.3333333333333333,0.12852982718973585,0.32621051762248326,3.60262960769811,2.136844713255015
reference,mm1_rho_0.6,mm1,1,0.6,theoretical,0.3,0.5,0.29261392191834545,0.49268821859089634,2.462026027218178,1.4623562818207314
reference,mm1_rho_0.8,mm1,1,0.8,theoretical,0.8,1.0,0.8367136899088639,1.0374615519428048,4.589211238607977,3.746155194280476
reference,mm1_rho_0.9,mm1,1,0.9,theoretical,1.8,2.0,1.8809502634886361,2.08291644223716,4.4972368604797825,4.145822111858011
reference,md1_rho_0.2,md1,1,0.2,theoretical,0.025000000000000005,0.225,0.026184096489690254,0.22618409648895588,4.736385958760996,0.5262651062026096
reference,md1_rho_0.4,md1,1,0.4,theoretical,0.06666666666666668,0.2666666666666667,0.06588436387526807,0.2658843638757627,1.1734541870979176,0.293363546589008
reference,md1_rho_0.6,md1,1,0.6000000000000001,theoretical,0.15000000000000005,0.3500000000000001,0.14466212176451937,0.3446621217648587,3.5585854903204526,1.5251080671832478
reference,md1_rho_0.8,md1,1,0.8,theoretical,0.4000000000000002,0.6000000000000002,0.4138807913633406,0.6138807913635197,3.4701978408351026,2.3134652272532485
reference,md1_rho_0.9,md1,1,0.9,theoretical,0.9000000000000004,1.1000000000000003,0.8931080695053949,1.0931080695055002,0.7657700549561618,0.6265391358636451
reference,mmc_c2_rho_0.4,mmc,2,0.4,theoretical,0.0380952380952381,0.2380952380952381,0.03670699915925487,0.23662492655414014,3.6441272069559743,0.617530847261149
reference,mmc_c2_rho_0.6,mmc,2,0.6,theoretical,0.11249999999999999,0.3125,0.10800591553130172,0.30739188671348167,3.994741749954018,1.634596251685867
reference,mmc_c2_rho_0.8,mmc,2,0.8,theoretical,0.3555555555555556,0.5555555555555556,0.32818608284711265,0.5265651223107741,7.697664199249586,5.218277984060662
reference,mmc_c2_rho_0.9,mmc,2,0.9,theoretical,0.8526315789473684,1.0526315789473684,0.7628512937953621,0.9613475014131356,10.52978653017358,8.67198736575211
reference,mgc_c2_zlib_compress_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.321081626566309,1.220280826566309,0.32511514324258045,1.2198632642424678,1.2562278070553035,0.03421854336727699
reference,mgc_c2_zlib_compress_rho_0.70,mgc,2,0.7,allen-cunneen-approx,1.6195734987094705,2.5187726987094705,1.6147154250171478,2.509637654195055,0.2999600633249303,0.3626783996466157
reference,mgc_c2_zlib_compress_rho_0.85,mgc,2,0.85,allen-cunneen-approx,4.3888387198894785,5.2880379198894785,4.415488688812013,5.321344188612099,0.6072214228734575,0.6298417149647968
reference,mgc_c2_sha256_hash_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.04417421449151011,0.1677826144915101,0.04500472291208686,0.16932657766755327,1.880075130110963,0.9202164245219142
reference,mgc_c2_sha256_hash_rho_0.70,mgc,2,0.7,allen-cunneen-approx,0.22281993486158763,0.34642833486158764,0.22686273071532964,0.3497149971153149,1.814377989228537,0.9487278963599827
reference,mgc_c2_sha256_hash_rho_0.85,mgc,2,0.85,allen-cunneen-approx,0.6038137561913842,0.7274221561913842,0.5570001869617377,0.6803575281839572,7.752981569172554,6.470056982295749
reference,mgc_c2_rs84_encode_rho_0.40,mgc,2,0.4,allen-cunneen-approx,0.22625667050274662,0.8382802705027466,0.23763441404724986,0.8501570488916078,5.028688665497323,1.4168028053121573
reference,mgc_c2_rs84_encode_rho_0.70,mgc,2,0.7,allen-cunneen-approx,1.1412652644476773,1.7532888644476774,1.2545737215965744,1.873817940818837,9.928319092733757,6.874456275585181
reference,mgc_c2_rs84_encode_rho_0.85,mgc,2,0.8499999999999999,allen-cunneen-approx,3.092684083966596,3.704707683966596,2.73652642907696,3.347990379654728,11.516134374541009,9.628757104256453
simulator,mm1_rho_0.2,mm1,1,0.2,theoretical,0.05,0.25,0.05023,0.25023,0.4599999999999882,0.09200000000000319
simulator,mm1_rho_0.4,mm1,1,0.4,theoretical,0.13333333333333333,0.3333333333333333,0.134202,0.334202,0.6514999999999924,0.26060000000000527
simulator,mm1_rho_0.6,mm1,1,0.6,theoretical,0.3,0.5,0.302576,0.502576,0.8586666666666742,0.5152000000000045
simulator,mm1_rho_0.8,mm1,1,0.8,theoretical,0.8,1.0,0.769662,0.969662,3.792250000000011,3.0337999999999976
simulator,mm1_rho_0.9,mm1,1,0.9,theoretical,1.8,2.0,1.566448,1.766448,12.97511111111111,11.677599999999998
