scenario,model,servers,profile_name,lambda_rate,mu_rate,rho,baseline_type,theoretical_waiting_time,theoretical_response_time,reference_waiting_time,reference_response_time,reference_waiting_error_percent,reference_response_error_percent,simulator_waiting_time,simulator_response_time,simulator_waiting_error_percent,simulator_response_error_percent,simulator_error
mm1_rho_0.2,mm1,1,,1.0,5.0,0.2,theoretical,0.05,0.25,0.050115511615990586,0.2502342521009919,0.23102323198116725,0.09370084039677096,0.05023,0.25023,0.4599999999999882,0.09200000000000319,
mm1_rho_0.4,mm1,1,,2.0,5.0,0.4,theoretical,0.13333333333333333,0.3333333333333333,0.12852982718973585,0.32621051762248326,3.60262960769811,2.136844713255015,0.134202,0.334202,0.6514999999999924,0.26060000000000527,
mm1_rho_0.6,mm1,1,,3.0,5.0,0.6,theoretical,0.3,0.5,0.29261392191834545,0.49268821859089634,2.462026027218178,1.4623562818207314,0.302576,0.502576,0.8586666666666742,0.5152000000000045,
mm1_rho_0.8,mm1,1,,4.0,5.0,0.8,theoretical,0.8,1.0,0.8367136899088639,1.0374615519428048,4.589211238607977,3.746155194280476,0.769662,0.969662,3.792250000000011,3.0337999999999976,
mm1_rho_0.9,mm1,1,,4.5,5.0,0.9,theoretical,1.8,2.0,1.8809502634886361,2.08291644223716,4.4972368604797825,4.145822111858011,1.566448,1.766448,12.97511111111111,11.677599999999998,
md1_rho_0.2,md1,1,,1.0,5.0,0.2,theoretical,0.025000000000000005,0.225,0.026184096489690254,0.22618409648895588,4.736385958760996,0.5262651062026096,,,,,
md1_rho_0.4,md1,1,,2.0,5.0,0.4,theoretical,0.06666666666666668,0.2666666666666667,0.06588436387526807,0.2658843638757627,1.1734541870979176,0.293363546589008,,,,,
md1_rho_0.6,md1,1,,3.0,5.0,0.6000000000000001,theoretical,0.15000000000000005,0.3500000000000001,0.14466212176451937,0.3446621217648587,3.5585854903204526,1.5251080671832478,,,,,
md1_rho_0.8,md1,1,,4.0,5.0,0.8,theoretical,0.4000000000000002,0.6000000000000002,0.4138807913633406,0.6138807913635197,3.4701978408351026,2.3134652272532485,,,,,
md1_rho_0.9,md1,1,,4.5,5.0,0.9,theoretical,0.9000000000000004,1.1000000000000003,0.8931080695053949,1.0931080695055002,0.7657700549561618,0.6265391358636451,,,,,
mmc_c2_rho_0.4,mmc,2,,4.0,5.0,0.4,theoretical,0.0380952380952381,0.2380952380952381,0.03670699915925487,0.23662492655414014,3.6441272069559743,0.617530847261149,,,,,
mmc_c2_rho_0.6,mmc,2,,6.0,5.0,0.6,theoretical,0.11249999999999999,0.3125,0.10800591553130172,0.30739188671348167,3.994741749954018,1.634596251685867,,,,,
mmc_c2_rho_0.8,mmc,2,,8.0,5.0,0.8,theoretical,0.3555555555555556,0.5555555555555556,0.32818608284711265,0.5265651223107741,7.697664199249586,5.218277984060662,,,,,
mmc_c2_rho_0.9,mmc,2,,9.0,5.0,0.9,theoretical,0.8526315789473684,1.0526315789473684,0.7628512937953621,0.9613475014131356,10.52978653017358,8.67198736575211,,,,,
mgc_c2_zlib_compress_rho_0.40,mgc,2,zlib_compress,0.5198608280577207,0.6498260350721509,0.4,allen-cunneen-approx,0.5507855819025232,2.0896589819025233,0.5577535776027321,2.089010598824487,1.2651013260260098,0.031028176542282845,,,,,
mgc_c2_zlib_compress_rho_0.70,mgc,2,zlib_compress,0.9097564491010112,0.6498260350721509,0.7,allen-cunneen-approx,2.7782272734200792,4.317100673420079,2.7694527299060048,4.300996438684188,0.31583245899363566,0.37303356938240173,,,,,
mgc_c2_zlib_compress_rho_0.85,mgc,2,zlib_compress,1.1047042596226564,0.6498260350721509,0.85,allen-cunneen-approx,7.52864346073516,9.06751686073516,7.573435997353462,9.123714692264896,0.5949615870629639,0.6197709074364885,,,,,
mgc_c2_sha256_hash_rho_0.40,mgc,2,sha256_hash,5.03804987165568,6.2975623395696,0.39999999999999997,allen-cunneen-approx,0.056785255539845654,0.21557685553984562,0.05785746049583017,0.217565921740301,1.8881749246195754,0.9226714971207759,,,,,
mgc_c2_sha256_hash_rho_0.70,mgc,2,sha256_hash,8.81658727539744,6.2975623395696,0.7,allen-cunneen-approx,0.2864315095612802,0.4452231095612802,0.29163604111274316,0.44945592535715606,1.8170247957128005,0.95071789962719,,,,,
mgc_c2_sha256_hash_rho_0.85,mgc,2,sha256_hash,10.705855977268321,6.2975623395696,0.8500000000000001,allen-cunneen-approx,0.776193053764242,0.9349846537642419,0.716000517648715,0.8744694881598233,7.754840863830979,6.472316455760526,,,,,
mgc_c2_rs84_encode_rho_0.40,mgc,2,rs84_encode,1.3641876194516784,1.705234524314598,0.4,allen-cunneen-approx,0.2114567269773363,0.7978863269773363,0.221229270286514,0.808151541108548,4.621533421457486,1.2865509514494176,,,,,
mgc_c2_rs84_encode_rho_0.70,mgc,2,rs84_encode,2.387328334040437,1.705234524314598,0.7,allen-cunneen-approx,1.0666126081356817,1.6530422081356817,1.1720704005771256,1.7652503815104428,9.8871691218588,6.7879799331506865,,,,,
mgc_c2_rs84_encode_rho_0.85,mgc,2,rs84_encode,2.8988986913348165,1.705234524314598,0.85,allen-cunneen-approx,2.8903848559131835,3.4768144559131837,2.5606806331614784,3.146565954650355,11.406931574430038,9.498594344059958,,,,,
