stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.545393,0.068174,1097.559908,137.194988
1,stage1,output,0,hash_calculate,SHA256,8,0.571883,0.071485,300.028215,37.503527
1,stage1,output,1,compress,ZLIB,8,0.581549,0.072694,298.836976,37.354622
1,stage1,combined,-1,combined,,24,1.698825,0.070784,1696.425099,70.684379
2,stage2,input,0,uncompress,ZLIB,8,0.588541,0.073568,298.480962,37.310120
2,stage2,input,1,hash_verify,SHA256,8,0.613858,0.076732,298.480956,37.310120
2,stage2,application,0,application,,8,0.596042,0.074505,353.912724,44.239090
2,stage2,output,0,encrypt,RS,8,0.662730,0.082841,298.480962,37.310120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.687570,0.085946,298.480956,37.310120
2,stage2,combined,-1,combined,,40,3.148741,0.078719,1547.836560,38.695914
3,stage3,input,0,hash_verify,BLAKE3,8,0.682098,0.085262,308.354874,38.544359
3,stage3,input,1,unencrypt,RS,8,0.745091,0.093136,308.565886,38.570736
3,stage3,application,0,application,,8,0.725558,0.090695,545.337342,68.167168
3,stage3,output,0,compress,LZ4,8,0.741886,0.092736,298.964705,37.370588
3,stage3,output,1,encrypt,RS,8,0.762816,0.095352,298.480968,37.310121
3,stage3,output,2,hash_calculate,SHA3_256,8,0.747919,0.093490,298.480932,37.310117
3,stage3,combined,-1,combined,,48,4.405368,0.091778,2058.184705,42.878848
4,stage4,input,0,hash_verify,SHA3_256,8,0.759813,0.094977,298.480955,37.310119
4,stage4,input,1,unencrypt,RS,8,0.712490,0.089061,298.480932,37.310117
4,stage4,input,2,uncompress,LZ4,8,0.695592,0.086949,298.481003,37.310125
4,stage4,application,0,application,,8,0.644560,0.080570,559.985532,69.998192
4,stage4,output,0,hash_calculate,SHA256,8,0.621702,0.077713,298.480980,37.310122
4,stage4,combined,-1,combined,,40,3.434157,0.085854,1753.909402,43.847735
