stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.599059,0.074882,424.787697,53.098462
1,stage1,output,0,hash_calculate,SHA256,8,0.619928,0.077491,132.860124,16.607516
1,stage1,output,1,compress,ZLIB,8,0.624601,0.078075,132.860131,16.607516
1,stage1,combined,-1,combined,,24,1.843589,0.076816,690.507952,28.771165
2,stage2,input,0,uncompress,ZLIB,8,0.603251,0.075406,132.860131,16.607516
2,stage2,input,1,hash_verify,SHA256,8,0.602951,0.075369,132.860124,16.607516
2,stage2,application,0,application,,8,0.660624,0.082578,155.107592,19.388449
2,stage2,output,0,encrypt,RS,8,0.662322,0.082790,132.860131,16.607516
2,stage2,output,1,hash_calculate,BLAKE3,8,0.698117,0.087265,132.860118,16.607515
2,stage2,combined,-1,combined,,40,3.227265,0.080682,686.548097,17.163702
3,stage3,input,0,hash_verify,BLAKE3,8,0.682412,0.085301,137.324642,17.165580
3,stage3,input,1,unencrypt,RS,8,0.642757,0.080345,137.489381,17.186173
3,stage3,application,0,application,,8,0.670134,0.083767,212.686906,26.585863
3,stage3,output,0,compress,LZ4,8,0.697138,0.087142,132.860118,16.607515
3,stage3,output,1,encrypt,RS,8,0.767245,0.095906,132.860145,16.607518
3,stage3,output,2,hash_calculate,SHA3_256,8,0.760432,0.095054,132.860118,16.607515
3,stage3,combined,-1,combined,,48,4.220119,0.087919,886.081309,18.460027
4,stage4,input,0,hash_verify,SHA3_256,8,0.772600,0.096575,132.860118,16.607515
4,stage4,input,1,unencrypt,RS,8,0.728574,0.091072,132.860118,16.607515
4,stage4,input,2,uncompress,LZ4,8,0.651982,0.081498,132.860116,16.607515
4,stage4,application,0,application,,8,0.586074,0.073259,218.313056,27.289132
4,stage4,output,0,hash_calculate,SHA256,8,0.535621,0.066953,132.860130,16.607516
4,stage4,combined,-1,combined,,40,3.274850,0.081871,749.753538,18.743838
