stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.563765,0.070471,427.574968,53.446871
1,stage1,output,0,hash_calculate,SHA256,8,0.599606,0.074951,132.632957,16.579120
1,stage1,output,1,compress,ZLIB,8,0.604956,0.075620,132.632962,16.579120
1,stage1,combined,-1,combined,,24,1.768327,0.073680,692.840887,28.868370
2,stage2,input,0,uncompress,ZLIB,8,0.619173,0.077397,132.632962,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.695818,0.086977,132.632957,16.579120
2,stage2,application,0,application,,8,0.771675,0.096459,155.849272,19.481159
2,stage2,output,0,encrypt,RS,8,0.817412,0.102177,132.632962,16.579120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.906160,0.113270,132.632944,16.579118
2,stage2,combined,-1,combined,,40,3.810239,0.095256,686.381097,17.159527
3,stage3,input,0,hash_verify,BLAKE3,8,0.818672,0.102334,136.204578,17.025572
3,stage3,input,1,unencrypt,RS,8,0.747419,0.093427,136.336362,17.042045
3,stage3,application,0,application,,8,0.741302,0.092663,214.065064,26.758133
3,stage3,output,0,compress,LZ4,8,0.741769,0.092721,132.632944,16.579118
3,stage3,output,1,encrypt,RS,8,0.727490,0.090936,132.632980,16.579123
3,stage3,output,2,hash_calculate,SHA3_256,8,0.731390,0.091424,132.632944,16.579118
3,stage3,combined,-1,combined,,48,4.508041,0.093918,884.504873,18.427185
4,stage4,input,0,hash_verify,SHA3_256,8,0.832875,0.104109,132.632944,16.579118
4,stage4,input,1,unencrypt,RS,8,0.837821,0.104728,132.632944,16.579118
4,stage4,input,2,uncompress,LZ4,8,0.860859,0.107607,132.632957,16.579120
4,stage4,application,0,application,,8,0.902656,0.112832,219.728592,27.466074
4,stage4,output,0,hash_calculate,SHA256,8,0.812334,0.101542,132.632969,16.579121
4,stage4,combined,-1,combined,,40,4.246545,0.106164,750.260407,18.756510
