stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.620641,0.077580,428.011790,53.501474
1,stage1,output,0,hash_calculate,SHA256,8,0.633292,0.079161,134.030121,16.753765
1,stage1,output,1,compress,ZLIB,8,0.665472,0.083184,133.634626,16.704328
1,stage1,combined,-1,combined,,24,1.919405,0.079975,695.676537,28.986522
2,stage2,input,0,uncompress,ZLIB,8,0.668889,0.083611,133.634626,16.704328
2,stage2,input,1,hash_verify,SHA256,8,0.711118,0.088890,133.634622,16.704328
2,stage2,application,0,application,,8,0.763548,0.095444,155.965508,19.495689
2,stage2,output,0,encrypt,RS,8,0.796793,0.099599,133.634627,16.704328
2,stage2,output,1,hash_calculate,BLAKE3,8,0.860049,0.107506,133.634609,16.704326
2,stage2,combined,-1,combined,,40,3.800397,0.095010,690.503991,17.262600
3,stage3,input,0,hash_verify,BLAKE3,8,0.895300,0.111913,137.003973,17.125497
3,stage3,input,1,unencrypt,RS,8,0.953337,0.119167,137.095950,17.136994
3,stage3,application,0,application,,8,0.853606,0.106701,214.281050,26.785131
3,stage3,output,0,compress,LZ4,8,0.762782,0.095348,133.634606,16.704326
3,stage3,output,1,encrypt,RS,8,0.712015,0.089002,133.634645,16.704331
3,stage3,output,2,hash_calculate,SHA3_256,8,0.713874,0.089234,133.634604,16.704325
3,stage3,combined,-1,combined,,48,4.890914,0.101894,889.284828,18.526767
4,stage4,input,0,hash_verify,SHA3_256,8,0.753900,0.094238,133.634609,16.704326
4,stage4,input,1,unencrypt,RS,8,0.758718,0.094840,133.634609,16.704326
4,stage4,input,2,uncompress,LZ4,8,0.740247,0.092531,133.634634,16.704329
4,stage4,application,0,application,,8,0.688734,0.086092,219.950435,27.493804
4,stage4,output,0,hash_calculate,SHA256,8,0.675898,0.084487,133.634640,16.704330
4,stage4,combined,-1,combined,,40,3.617496,0.090437,754.488926,18.862223
