stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.521534,0.065192,427.574968,53.446871
1,stage1,output,0,hash_calculate,SHA256,8,0.559353,0.069919,132.632957,16.579120
1,stage1,output,1,compress,ZLIB,8,0.590433,0.073804,132.632962,16.579120
1,stage1,combined,-1,combined,,24,1.671320,0.069638,692.840887,28.868370
2,stage2,input,0,uncompress,ZLIB,8,0.601213,0.075152,132.632962,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.637703,0.079713,132.632957,16.579120
2,stage2,application,0,application,,8,0.628891,0.078611,155.849272,19.481159
2,stage2,output,0,encrypt,RS,8,0.632401,0.079050,132.632962,16.579120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.619705,0.077463,132.632944,16.579118
2,stage2,combined,-1,combined,,40,3.119913,0.077998,686.381097,17.159527
3,stage3,input,0,hash_verify,BLAKE3,8,0.614266,0.076783,136.204578,17.025572
3,stage3,input,1,unencrypt,RS,8,0.622182,0.077773,136.336362,17.042045
3,stage3,application,0,application,,8,0.643182,0.080398,214.065064,26.758133
3,stage3,output,0,compress,LZ4,8,0.612679,0.076585,132.632944,16.579118
3,stage3,output,1,encrypt,RS,8,0.635073,0.079384,132.632980,16.579123
3,stage3,output,2,hash_calculate,SHA3_256,8,0.631725,0.078966,132.632944,16.579118
3,stage3,combined,-1,combined,,48,3.759107,0.078315,884.504873,18.427185
4,stage4,input,0,hash_verify,SHA3_256,8,0.615872,0.076984,132.632944,16.579118
4,stage4,input,1,unencrypt,RS,8,0.612303,0.076538,132.632944,16.579118
4,stage4,input,2,uncompress,LZ4,8,0.602690,0.075336,132.632957,16.579120
4,stage4,application,0,application,,8,0.573928,0.071741,219.728592,27.466074
4,stage4,output,0,hash_calculate,SHA256,8,0.546460,0.068307,132.632969,16.579121
4,stage4,combined,-1,combined,,40,2.951252,0.073781,750.260407,18.756510
