stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.550454,0.068807,427.574968,53.446871
1,stage1,output,0,hash_calculate,SHA256,8,0.578021,0.072253,132.632957,16.579120
1,stage1,output,1,compress,ZLIB,8,0.592381,0.074048,132.632962,16.579120
1,stage1,combined,-1,combined,,24,1.720857,0.071702,692.840887,28.868370
2,stage2,input,0,uncompress,ZLIB,8,0.603094,0.075387,132.632962,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.601532,0.075192,132.632957,16.579120
2,stage2,application,0,application,,8,0.584110,0.073014,155.849272,19.481159
2,stage2,output,0,encrypt,RS,8,0.580894,0.072612,132.632962,16.579120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.578642,0.072330,132.632944,16.579118
2,stage2,combined,-1,combined,,40,2.948272,0.073707,686.381097,17.159527
3,stage3,input,0,hash_verify,BLAKE3,8,0.562534,0.070317,136.204578,17.025572
3,stage3,input,1,unencrypt,RS,8,0.578746,0.072343,136.336362,17.042045
3,stage3,application,0,application,,8,0.591800,0.073975,214.065064,26.758133
3,stage3,output,0,compress,LZ4,8,0.585099,0.073137,132.632944,16.579118
3,stage3,output,1,encrypt,RS,8,0.598424,0.074803,132.632980,16.579123
3,stage3,output,2,hash_calculate,SHA3_256,8,0.590045,0.073756,132.632944,16.579118
3,stage3,combined,-1,combined,,48,3.506648,0.073055,884.504873,18.427185
4,stage4,input,0,hash_verify,SHA3_256,8,0.601058,0.075132,132.632944,16.579118
4,stage4,input,1,unencrypt,RS,8,0.600480,0.075060,132.632944,16.579118
4,stage4,input,2,uncompress,LZ4,8,0.592759,0.074095,132.632957,16.579120
4,stage4,application,0,application,,8,0.573537,0.071692,219.728592,27.466074
4,stage4,output,0,hash_calculate,SHA256,8,0.555287,0.069411,132.632969,16.579121
4,stage4,combined,-1,combined,,40,2.923120,0.073078,750.260407,18.756510
