stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.519126,0.064891,427.574968,53.446871
1,stage1,output,0,compress,ZSTD,8,0.528490,0.066061,132.632957,16.579120
1,stage1,output,1,encrypt,RS,8,0.553568,0.069196,132.632957,16.579120
1,stage1,output,2,hash_calculate,SHA3_256,8,0.579315,0.072414,132.632962,16.579120
1,stage1,combined,-1,combined,,32,2.180499,0.068141,825.473843,25.796058
2,stage2,input,0,hash_verify,SHA3_256,8,0.572547,0.071568,132.632962,16.579120
2,stage2,input,1,unencrypt,RS,8,0.588168,0.073521,132.632957,16.579120
2,stage2,input,2,uncompress,ZSTD,8,0.597743,0.074718,132.632957,16.579120
2,stage2,application,0,application,,8,0.602991,0.075374,155.849272,19.481159
2,stage2,output,0,compress,ZSTD,8,0.611467,0.076433,132.632944,16.579118
2,stage2,output,1,encrypt,RS,8,0.621113,0.077639,132.632944,16.579118
2,stage2,output,2,hash_calculate,SHA3_256,8,0.678889,0.084861,132.632956,16.579119
2,stage2,combined,-1,combined,,56,4.272918,0.076302,951.646991,16.993696
3,stage3,input,0,hash_verify,SHA3_256,8,0.665213,0.083152,132.632969,16.579121
3,stage3,input,1,unencrypt,RS,8,0.648121,0.081015,132.632969,16.579121
3,stage3,input,2,uncompress,ZSTD,8,0.630698,0.078837,132.632969,16.579121
3,stage3,application,0,application,,8,0.619310,0.077414,214.065064,26.758133
3,stage3,output,0,compress,ZSTD,8,0.617390,0.077174,132.632969,16.579121
3,stage3,output,1,encrypt,RS,8,0.630532,0.078817,132.632969,16.579121
3,stage3,output,2,hash_calculate,SHA3_256,8,0.651036,0.081380,132.632969,16.579121
3,stage3,combined,-1,combined,,56,4.462300,0.079684,1009.862877,18.033266
4,stage4,input,0,hash_verify,SHA3_256,8,0.642530,0.080316,132.632969,16.579121
4,stage4,input,1,unencrypt,RS,8,0.623721,0.077965,132.632969,16.579121
4,stage4,input,2,uncompress,ZSTD,8,0.626718,0.078340,132.632969,16.579121
4,stage4,application,0,application,,8,0.603413,0.075427,219.728592,27.466074
4,stage4,output,0,compress,ZSTD,8,0.569509,0.071189,132.632969,16.579121
4,stage4,output,1,encrypt,RS,8,0.562150,0.070269,132.632969,16.579121
4,stage4,output,2,hash_calculate,SHA3_256,8,0.529778,0.066222,132.632942,16.579118
4,stage4,combined,-1,combined,,56,4.157821,0.074247,1015.526379,18.134400
