stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.579672,0.072459,424.787697,53.098462
1,stage1,output,0,compress,ZSTD,8,0.617279,0.077160,132.860124,16.607516
1,stage1,output,1,hash_calculate,SHA3_256,8,0.606350,0.075794,132.860131,16.607516
1,stage1,output,2,encrypt,RS,8,0.648615,0.081077,132.860124,16.607516
1,stage1,output,3,hash_calculate,BLAKE3,8,0.618851,0.077356,132.860131,16.607516
1,stage1,combined,-1,combined,,40,3.070766,0.076769,956.228208,23.905705
2,stage2,input,0,hash_verify,BLAKE3,8,0.622084,0.077760,132.860132,16.607517
2,stage2,input,1,unencrypt,RS,8,0.627611,0.078451,132.860124,16.607516
2,stage2,input,2,hash_verify,SHA3_256,8,0.612523,0.076565,132.860130,16.607516
2,stage2,input,3,uncompress,ZSTD,8,0.628060,0.078507,132.860124,16.607516
2,stage2,application,0,application,,8,0.638346,0.079793,155.107592,19.388449
2,stage2,output,0,compress,ZSTD,8,0.642607,0.080326,132.860118,16.607515
2,stage2,output,1,hash_calculate,SHA3_256,8,0.684898,0.085612,132.860130,16.607516
2,stage2,output,2,encrypt,RS,8,0.649614,0.081202,132.860118,16.607515
2,stage2,output,3,hash_calculate,BLAKE3,8,0.631783,0.078973,132.860106,16.607513
2,stage2,combined,-1,combined,,72,5.737526,0.079688,1217.988574,16.916508
3,stage3,input,0,hash_verify,BLAKE3,8,0.622043,0.077755,132.860102,16.607513
3,stage3,input,1,unencrypt,RS,8,0.620598,0.077575,132.860130,16.607516
3,stage3,input,2,hash_verify,SHA3_256,8,0.615387,0.076923,132.860130,16.607516
3,stage3,input,3,uncompress,ZSTD,8,0.602936,0.075367,132.860130,16.607516
3,stage3,application,0,application,,8,0.605933,0.075742,212.686906,26.585863
3,stage3,output,0,compress,ZSTD,8,0.605629,0.075704,132.860130,16.607516
3,stage3,output,1,hash_calculate,SHA3_256,8,0.594392,0.074299,132.860130,16.607516
3,stage3,output,2,encrypt,RS,8,0.594560,0.074320,132.860130,16.607516
3,stage3,output,3,hash_calculate,BLAKE3,8,0.627832,0.078479,132.860130,16.607516
3,stage3,combined,-1,combined,,72,5.489308,0.076240,1275.567920,17.716221
4,stage4,input,0,hash_verify,BLAKE3,8,0.629443,0.078680,132.860092,16.607512
4,stage4,input,1,unencrypt,RS,8,0.659307,0.082413,132.860130,16.607516
4,stage4,input,2,hash_verify,SHA3_256,8,0.690893,0.086362,132.860142,16.607518
4,stage4,input,3,uncompress,ZSTD,8,0.672187,0.084023,132.860130,16.607516
4,stage4,application,0,application,,8,0.659551,0.082444,218.313056,27.289132
4,stage4,output,0,compress,ZSTD,8,0.644829,0.080604,132.860130,16.607516
4,stage4,output,1,hash_calculate,SHA3_256,8,0.647757,0.080970,132.860092,16.607512
4,stage4,output,2,encrypt,RS,8,0.611969,0.076496,132.860130,16.607516
4,stage4,output,3,hash_calculate,BLAKE3,8,0.597273,0.074659,132.860168,16.607521
4,stage4,combined,-1,combined,,72,5.813209,0.080739,1281.194072,17.794362
