stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.512052,0.064006,381.009276,47.626159
1,stage1,output,0,hash_calculate,SHA256,8,0.570312,0.071289,132.632962,16.579120
1,stage1,output,1,compress,ZLIB,8,0.578148,0.072268,132.632962,16.579120
1,stage1,combined,-1,combined,,24,1.660512,0.069188,646.275200,26.928133
2,stage2,input,0,uncompress,ZLIB,8,0.595772,0.074472,132.632962,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.604012,0.075502,132.632962,16.579120
2,stage2,application,0,application,,8,0.587279,0.073410,146.269488,18.283686
2,stage2,output,0,encrypt,RS,8,0.603197,0.075400,132.632962,16.579120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.586706,0.073338,132.632944,16.579118
2,stage2,combined,-1,combined,,40,2.976966,0.074424,676.801319,16.920033
3,stage3,input,0,hash_verify,BLAKE3,8,0.615731,0.076966,132.632957,16.579120
3,stage3,input,1,unencrypt,RS,8,0.621719,0.077715,132.632962,16.579120
3,stage3,application,0,application,,8,0.606739,0.075842,171.741552,21.467694
3,stage3,output,0,compress,LZ4,8,0.616998,0.077125,132.632944,16.579118
3,stage3,output,1,encrypt,RS,8,0.615094,0.076887,132.632944,16.579118
3,stage3,output,2,hash_calculate,SHA3_256,8,0.616829,0.077104,132.632944,16.579118
3,stage3,combined,-1,combined,,48,3.693110,0.076940,834.906304,17.393881
4,stage4,input,0,hash_verify,SHA3_256,8,0.596834,0.074604,132.632944,16.579118
4,stage4,input,1,unencrypt,RS,8,0.594883,0.074360,132.632980,16.579123
4,stage4,input,2,uncompress,LZ4,8,0.574298,0.071787,132.632957,16.579120
4,stage4,application,0,application,,8,0.546508,0.068313,195.622040,24.452755
4,stage4,output,0,hash_calculate,SHA256,8,0.543718,0.067965,132.632969,16.579121
4,stage4,combined,-1,combined,,40,2.856241,0.071406,726.153891,18.153847
