factor,value_label,value,workers,trace_objects,repeat_count,pipeline_total_seconds,pipeline_max_stage_seconds,pipeline_input_seconds,pipeline_application_seconds,pipeline_output_seconds,pipeline_compression_seconds,pipeline_hash_seconds,pipeline_crypto_seconds,stage_count,objects
payload_size,1MB,1000000,8,90100.0,1,384.961735,111.68288,124.9699,117.169107,142.822727,71.411368,124.96989099999999,71.411368,4.0,100.0
payload_size,10MB,10000000,8,90100.0,1,389.546801,113.171347,124.969901,121.75415500000001,142.822745,71.411368,124.96990299999999,71.411374,4.0,100.0
payload_size,100MB,100000000,8,90100.0,1,485.564117,168.058571,151.83468200000002,180.992326,152.737109,76.43172,143.159919,84.980153,4.0,100.0
payload_size,1000MB,1000000000,8,90100.0,1,2482.3378510000002,1162.22264,864.0754079999999,853.2688279999999,764.993615,371.327849,812.2865609999999,445.45461299999994,4.0,100.0
devices,20-devices,20,8,90020.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
devices,50-devices,50,8,90050.0,1,227.0745,67.708195,76.813895,62.473299,87.787306,43.893654999999995,76.813894,43.893652,4.0,50.0
devices,100-devices,100,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
devices,200-devices,200,8,90200.0,1,936.4643410000001,273.169924,274.427996,353.113689,308.92265499999996,154.364437,272.50619499999993,156.48001599999998,4.0,200.0
devices,400-devices,400,8,90400.0,1,1712.524416,508.792983,537.027791,561.750633,613.74599,306.873016,537.0277480000001,306.873016,4.0,400.0
workers,1-worker,1,1,90100.0,1,3315.713469,971.97051,1067.03521,1029.209534,1219.4687250000002,609.734344,1067.035198,609.734392,4.0,100.0
workers,2-workers,2,2,90100.0,1,1638.967281,485.097818,510.43530100000004,545.17737,583.35461,291.677284,510.435295,291.677332,4.0,100.0
workers,4-workers,4,4,90100.0,1,873.4589569999999,254.645963,262.422505,313.008331,298.02812099999994,149.014068,261.587286,149.849272,4.0,100.0
workers,8-workers,8,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
workers,16-workers,16,16,90100.0,1,227.0745,67.708195,76.813895,62.473299,87.787306,43.893654999999995,76.813894,43.893652,4.0,100.0
network_bandwidth,10MBps,10,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
network_bandwidth,25MBps,25,8,90100.0,1,449.408963,132.695235,144.39218400000001,139.997141,165.019639,82.50982,144.392185,82.50982,4.0,100.0
network_bandwidth,50MBps,50,8,90100.0,1,449.408963,132.695235,144.39218400000001,139.997141,165.019639,82.50982,144.392185,82.50982,4.0,100.0
network_bandwidth,100MBps,100,8,90100.0,1,449.408963,132.695235,144.39218400000001,139.997141,165.019639,82.50982,144.392185,82.50982,4.0,100.0
network_bandwidth,200MBps,200,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
storage_bandwidth,10MBps,10,8,90100.0,1,1042.817585,313.286333,312.557839,372.545342,357.71440600000005,136.316232,348.72557800000004,185.230435,4.0,100.0
storage_bandwidth,50MBps,50,8,90100.0,1,433.023379,125.472246,129.050916,157.068706,146.903755,71.411368,129.544666,74.998638,4.0,100.0
storage_bandwidth,100MBps,100,8,90100.0,1,451.250719,130.403454,144.39218400000001,141.83889699999997,165.019639,82.50982,144.392185,82.50982,4.0,100.0
storage_bandwidth,250MBps,250,8,90100.0,1,439.159191,127.963024,144.39218400000001,129.747369,165.019639,82.50982,144.392185,82.50982,4.0,100.0
storage_bandwidth,500MBps,500,8,90100.0,1,387.89863199999996,112.261736,124.969907,120.105985,142.82273899999998,71.411374,124.96990299999999,71.411368,4.0,100.0
hardware_profile,c3,c3,8,90100.0,1,449.408963,132.695235,144.39218400000001,139.997141,165.019639,82.50982,144.392185,82.50982,4.0,100.0
hardware_profile,dianalap,dianalap,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
hardware_profile,toge,toge,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
nfr_pipeline,minimal,minimal,8,90100.0,1,284.389326,79.736864,61.88236500000001,139.997141,82.50982,0.0,144.392185,0.0,4.0,100.0
nfr_pipeline,baseline,baseline,8,90100.0,1,401.33404699999994,117.415005,124.96989400000001,133.54142000000002,142.822733,71.411368,124.96989099999999,71.411368,4.0,100.0
nfr_pipeline,heavy,heavy,8,90100.0,1,508.45111899999995,136.013566,160.675598,133.54142000000002,214.234102,124.96990299999999,124.96989099999999,124.96990299999999,4.0,100.0
nfr_pipeline,maximal,maximal,8,90100.0,1,717.565847,195.361448,247.52943,139.997141,330.039276,144.392185,144.39218400000001,144.392185,4.0,100.0
