stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.600557,0.075070,396.075659,49.509457
1,stage1,output,0,hash_calculate,SHA256,8,0.625026,0.078128,132.860131,16.607516
1,stage1,output,1,compress,ZLIB,8,0.624010,0.078001,132.860124,16.607516
1,stage1,combined,-1,combined,,24,1.849593,0.077066,661.795914,27.574830
2,stage2,input,0,uncompress,ZLIB,8,0.628388,0.078549,132.860124,16.607516
2,stage2,input,1,hash_verify,SHA256,8,0.648770,0.081096,132.860131,16.607516
2,stage2,application,0,application,,8,0.685341,0.085668,155.107592,19.388449
2,stage2,output,0,encrypt,RS,8,0.691424,0.086428,132.860131,16.607516
2,stage2,output,1,hash_calculate,BLAKE3,8,0.696748,0.087093,132.860132,16.607517
2,stage2,combined,-1,combined,,40,3.350671,0.083767,686.548111,17.163703
3,stage3,input,0,hash_verify,BLAKE3,8,0.681056,0.085132,132.860130,16.607516
3,stage3,input,1,unencrypt,RS,8,0.639413,0.079927,132.860131,16.607516
3,stage3,application,0,application,,8,0.634561,0.079320,180.289766,22.536221
3,stage3,output,0,compress,LZ4,8,0.644053,0.080507,132.860118,16.607515
3,stage3,output,1,encrypt,RS,8,0.682137,0.085267,132.860145,16.607518
3,stage3,output,2,hash_calculate,SHA3_256,8,0.701452,0.087682,132.860130,16.607516
3,stage3,combined,-1,combined,,48,3.982672,0.082972,844.590420,17.595634
4,stage4,input,0,hash_verify,SHA3_256,8,0.749078,0.093635,132.860130,16.607516
4,stage4,input,1,unencrypt,RS,8,0.759445,0.094931,132.860159,16.607520
4,stage4,input,2,uncompress,LZ4,8,0.729733,0.091217,132.860130,16.607516
4,stage4,application,0,application,,8,0.701717,0.087715,207.423677,25.927960
4,stage4,output,0,hash_calculate,SHA256,8,0.597513,0.074689,132.860159,16.607520
4,stage4,combined,-1,combined,,40,3.537486,0.088437,738.864255,18.471606
