stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,1,0.210671,0.210671,451.498413,451.498413
1,stage1,output,0,hash_calculate,SHA256,1,0.069869,0.069869,152.433598,152.433598
1,stage1,output,1,compress,ZLIB,1,0.064362,0.064362,152.433598,152.433598
1,stage1,combined,-1,combined,,3,0.344902,0.114967,756.365609,252.121870
2,stage2,input,0,uncompress,ZLIB,1,0.059829,0.059829,152.433598,152.433598
2,stage2,input,1,hash_verify,SHA256,1,0.066101,0.066101,152.433598,152.433598
2,stage2,application,0,application,,1,0.060584,0.060584,152.433594,152.433594
2,stage2,output,0,encrypt,RS,1,0.058601,0.058601,152.433598,152.433598
2,stage2,output,1,hash_calculate,BLAKE3,1,0.073165,0.073165,152.433610,152.433610
2,stage2,combined,-1,combined,,5,0.318279,0.063656,762.167998,152.433600
3,stage3,input,0,hash_verify,BLAKE3,1,0.066413,0.066413,152.433586,152.433586
3,stage3,input,1,unencrypt,RS,1,0.060458,0.060458,152.433622,152.433622
3,stage3,application,0,application,,1,0.064874,0.064874,209.802567,209.802567
3,stage3,output,0,compress,LZ4,1,0.056322,0.056322,152.433562,152.433562
3,stage3,output,1,encrypt,RS,1,0.061603,0.061603,152.433586,152.433586
3,stage3,output,2,hash_calculate,SHA3_256,1,0.063978,0.063978,152.433586,152.433586
3,stage3,combined,-1,combined,,6,0.373647,0.062274,971.970510,161.995085
4,stage4,input,0,hash_verify,SHA3_256,1,0.054769,0.054769,152.433634,152.433634
4,stage4,input,1,unencrypt,RS,1,0.057384,0.057384,152.433586,152.433586
4,stage4,input,2,uncompress,LZ4,1,0.072857,0.072857,152.433586,152.433586
4,stage4,application,0,application,,1,0.062609,0.062609,215.474960,215.474960
4,stage4,output,0,hash_calculate,SHA256,1,0.072638,0.072638,152.433586,152.433586
4,stage4,combined,-1,combined,,5,0.320257,0.064051,825.209352,165.041870
