stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,4,0.246251,0.061563,537.157472,134.289368
1,stage1,output,0,hash_calculate,SHA256,4,0.250988,0.062747,149.014056,37.253514
1,stage1,output,1,compress,ZLIB,4,0.267972,0.066993,149.014056,37.253514
1,stage1,combined,-1,combined,,12,0.765211,0.063768,835.185583,69.598799
2,stage2,input,0,uncompress,ZLIB,4,0.264511,0.066128,149.014056,37.253514
2,stage2,input,1,hash_verify,SHA256,4,0.245862,0.061465,149.014056,37.253514
2,stage2,application,0,application,,4,0.252914,0.063229,173.863676,43.465919
2,stage2,output,0,encrypt,RS,4,0.247658,0.061915,149.014056,37.253514
2,stage2,output,1,hash_calculate,BLAKE3,4,0.252226,0.063056,149.014068,37.253517
2,stage2,combined,-1,combined,,20,1.263172,0.063159,769.919911,38.495996
3,stage3,input,0,hash_verify,BLAKE3,4,0.270596,0.067649,152.264786,38.066196
3,stage3,input,1,unencrypt,RS,4,0.262301,0.065575,152.354944,38.088736
3,stage3,application,0,application,,4,0.260450,0.065112,266.921968,66.730492
3,stage3,output,0,compress,LZ4,4,0.263021,0.065755,149.014068,37.253517
3,stage3,output,1,encrypt,RS,4,0.251603,0.062901,149.014044,37.253511
3,stage3,output,2,hash_calculate,SHA3_256,4,0.254361,0.063590,149.014044,37.253511
3,stage3,combined,-1,combined,,24,1.562331,0.065097,1018.583853,42.440994
4,stage4,input,0,hash_verify,SHA3_256,4,0.261078,0.065270,149.014044,37.253511
4,stage4,input,1,unencrypt,RS,4,0.248306,0.062077,149.014044,37.253511
4,stage4,input,2,uncompress,LZ4,4,0.248433,0.062108,149.014091,37.253523
4,stage4,application,0,application,,4,0.253742,0.063435,274.090208,68.522552
4,stage4,output,0,hash_calculate,SHA256,4,0.271623,0.067906,149.014091,37.253523
4,stage4,combined,-1,combined,,20,1.283182,0.064159,870.146479,43.507324
