workers,stage,stage_name,avg_total_seconds,min_total_seconds,max_total_seconds,avg_worker_seconds,min_worker_seconds,max_worker_seconds,avg_input_total_seconds,avg_compression_total_seconds,avg_hash_total_seconds,avg_crypto_total_seconds,avg_application_total_seconds,avg_output_total_seconds,pipeline_avg_seconds,pipeline_min_seconds,pipeline_max_seconds,pipeline_avg_worker_seconds,pipeline_min_worker_seconds,pipeline_max_worker_seconds,pipeline_avg_input_seconds,pipeline_avg_compression_seconds,pipeline_avg_hash_seconds,pipeline_avg_crypto_seconds,pipeline_avg_output_seconds,pipeline_avg_application_seconds,runs
1,1,stage1,756.365609,756.365609,756.365609,756.365609,756.365609,756.365609,0.0,152.433598,152.433598,0.0,451.498413,304.867196,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,1067.03521,609.734344,1067.035198,609.734392,1219.4687250000002,1029.209534,1
1,2,stage2,762.167998,762.167998,762.167998,762.167998,762.167998,762.167998,304.867196,152.433598,304.867208,152.433598,152.433594,304.867208,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,1067.03521,609.734344,1067.035198,609.734392,1219.4687250000002,1029.209534,1
1,3,stage3,971.97051,971.97051,971.97051,971.97051,971.97051,971.97051,304.867208,152.433562,304.867172,304.867208,209.802567,457.300735,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,1067.03521,609.734344,1067.035198,609.734392,1219.4687250000002,1029.209534,1
1,4,stage4,825.209352,825.209352,825.209352,825.209352,825.209352,825.209352,457.300806,152.433586,304.86722,152.433586,215.47496,152.433586,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,3315.713469,1067.03521,609.734344,1067.035198,609.734392,1219.4687250000002,1029.209534,1
2,1,stage1,371.587861,371.587861,371.587861,185.7939305,185.7939305,185.7939305,0.0,72.919327,72.919327,0.0,225.749207,145.838654,1638.967281,1638.967281,1638.967281,819.4836405,819.4836405,819.4836405,510.43530100000004,291.677284,510.435295,291.677332,583.35461,545.17737,1
2,2,stage2,366.852699,366.852699,366.852699,183.4263495,183.4263495,183.4263495,145.838654,72.919327,145.83866,72.919327,75.175385,145.83866,1638.967281,1638.967281,1638.967281,819.4836405,819.4836405,819.4836405,510.43530100000004,291.677284,510.435295,291.677332,583.35461,545.17737,1
2,3,stage3,485.097818,485.097818,485.097818,242.548909,242.548909,242.548909,145.83866,72.919309,145.838642,145.838684,120.501183,218.757975,1638.967281,1638.967281,1638.967281,819.4836405,819.4836405,819.4836405,510.43530100000004,291.677284,510.435295,291.677332,583.35461,545.17737,1
2,4,stage4,415.428903,415.428903,415.428903,207.7144515,207.7144515,207.7144515,218.757987,72.919321,145.838666,72.919321,123.751595,72.919321,1638.967281,1638.967281,1638.967281,819.4836405,819.4836405,819.4836405,510.43530100000004,291.677284,510.435295,291.677332,583.35461,545.17737,1
4,1,stage1,208.796396,208.796396,208.796396,52.199099,52.199099,52.199099,0.0,37.253514,37.253514,0.0,134.289368,74.507028,873.4589569999999,873.4589569999999,873.4589569999999,218.36473924999999,218.36473924999999,218.36473924999999,262.422505,149.014068,261.587286,149.849272,298.02812099999994,313.008331,1
4,2,stage2,192.479978,192.479978,192.479978,48.1199945,48.1199945,48.1199945,74.507028,37.253514,74.50703100000001,37.253514,43.465919,74.507031,873.4589569999999,873.4589569999999,873.4589569999999,218.36473924999999,218.36473924999999,218.36473924999999,262.422505,149.014068,261.587286,149.849272,298.02812099999994,313.008331,1
4,3,stage3,254.645963,254.645963,254.645963,63.66149075,63.66149075,63.66149075,76.154932,37.253517,75.319707,75.342247,66.730492,111.760539,873.4589569999999,873.4589569999999,873.4589569999999,218.36473924999999,218.36473924999999,218.36473924999999,262.422505,149.014068,261.587286,149.849272,298.02812099999994,313.008331,1
4,4,stage4,217.53662,217.53662,217.53662,54.384155,54.384155,54.384155,111.760545,37.253523,74.507034,37.253511,68.522552,37.253523,873.4589569999999,873.4589569999999,873.4589569999999,218.36473924999999,218.36473924999999,218.36473924999999,262.422505,149.014068,261.587286,149.849272,298.02812099999994,313.008331,1
8,1,stage1,91.969158,91.969158,91.969158,11.49614475,11.49614475,11.49614475,0.0,17.852842,17.852842,0.0,56.263474,35.705684,401.33404699999994,401.33404699999994,401.33404699999994,50.16675587499999,50.16675587499999,50.16675587499999,124.96989400000001,71.411368,124.96989099999999,71.411368,142.822733,133.54142000000002,1
8,2,stage2,91.642009,91.642009,91.642009,11.455251125,11.455251125,11.455251125,35.705684,17.852842,35.705681,17.852842,20.230644,35.705681,401.33404699999994,401.33404699999994,401.33404699999994,50.16675587499999,50.16675587499999,50.16675587499999,124.96989400000001,71.411368,124.96989099999999,71.411368,142.822733,133.54142000000002,1
8,3,stage3,117.415005,117.415005,117.415005,14.676875625,14.676875625,14.676875625,35.705687,17.852839,35.705684,35.705687,28.150795,53.558523,401.33404699999994,401.33404699999994,401.33404699999994,50.16675587499999,50.16675587499999,50.16675587499999,124.96989400000001,71.411368,124.96989099999999,71.411368,142.822733,133.54142000000002,1
8,4,stage4,100.307875,100.307875,100.307875,12.538484375,12.538484375,12.538484375,53.558523,17.852845,35.705684,17.852839,28.896507,17.852845,401.33404699999994,401.33404699999994,401.33404699999994,50.16675587499999,50.16675587499999,50.16675587499999,124.96989400000001,71.411368,124.96989099999999,71.411368,142.822733,133.54142000000002,1
16,1,stage1,47.247109,47.247109,47.247109,2.9529443125,2.9529443125,2.9529443125,0.0,10.973413,10.973413,0.0,25.300283,21.946826,227.0745,227.0745,227.0745,14.19215625,14.19215625,14.19215625,76.813895,43.893654999999995,76.813894,43.893652,87.787306,62.473299,1
16,2,stage2,55.053924,55.053924,55.053924,3.44087025,3.44087025,3.44087025,21.946826,10.973413,21.946827,10.973413,11.160272,21.946827,227.0745,227.0745,227.0745,14.19215625,14.19215625,14.19215625,76.813895,43.893654999999995,76.813894,43.893652,87.787306,62.473299,1
16,3,stage3,67.708195,67.708195,67.708195,4.2317621875,4.2317621875,4.2317621875,21.94683,10.973414,21.946827,21.946827,12.841127,32.920238,227.0745,227.0745,227.0745,14.19215625,14.19215625,14.19215625,76.813895,43.893654999999995,76.813894,43.893652,87.787306,62.473299,1
