algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1,1,148.86x,0.003488,0.001108,0.000614,0.000124,0.000038,0.001313
ZLIB,1,2,148.86x,0.003556,0.001129,0.000185,0.000137,0.000033,0.001243
ZLIB,1,3,148.86x,0.003313,0.001359,0.000457,0.000125,0.000032,0.000499
ZLIB,1,4,148.86x,0.003316,0.001119,0.000173,0.000094,0.000027,0.000617
ZLIB,1,5,148.86x,0.003304,0.001133,0.000184,0.000099,0.000027,0.000484
ZLIB,1,6,148.86x,0.003321,0.001122,0.000168,0.000113,0.000030,0.001143
ZLIB,1,7,148.86x,0.003314,0.001125,0.000172,0.000122,0.000027,0.000470
ZLIB,1,8,148.86x,0.003303,0.001125,0.000175,0.000094,0.000027,0.000844
ZLIB,1,9,148.86x,0.003304,0.001143,0.000158,0.000096,0.000027,0.000903
ZLIB,1,10,148.86x,0.003317,0.001097,0.000201,0.000103,0.000030,0.000488
ZLIB,10,1,154.49x,0.033177,0.011793,0.004630,0.000210,0.000025,0.013712
ZLIB,10,2,154.49x,0.033397,0.010863,0.001799,0.000196,0.000026,0.010125
ZLIB,10,3,154.49x,0.033188,0.010791,0.001945,0.000220,0.000026,0.009386
ZLIB,10,4,154.49x,0.033264,0.010898,0.002008,0.000211,0.000026,0.004839
ZLIB,10,5,154.49x,0.033819,0.011125,0.001838,0.000207,0.003092,0.013227
ZLIB,10,6,154.49x,0.033615,0.010848,0.001846,0.000205,0.000029,0.009774
ZLIB,10,7,154.49x,0.033384,0.010940,0.001743,0.000216,0.000026,0.004876
ZLIB,10,8,154.49x,0.033412,0.011132,0.001758,0.000208,0.000025,0.004924
ZLIB,10,9,154.49x,0.033319,0.011303,0.005810,0.000222,0.000026,0.009253
ZLIB,10,10,154.49x,0.033399,0.010985,0.001802,0.000205,0.000028,0.004873
ZLIB,50,1,158.47x,0.166560,0.057880,0.029730,0.000472,0.000041,0.068320
ZLIB,50,2,158.47x,0.167325,0.057905,0.033881,0.000467,0.000051,0.064408
ZLIB,50,3,158.47x,0.166537,0.058434,0.033856,0.000475,0.000042,0.072175
ZLIB,50,4,158.47x,0.165952,0.054450,0.034283,0.000459,0.000048,0.071507
ZLIB,50,5,158.47x,0.166091,0.056287,0.033776,0.000452,0.000042,0.070338
ZLIB,50,6,158.47x,0.166078,0.054757,0.034539,0.000470,0.000048,0.071113
ZLIB,50,7,158.47x,0.166154,0.056505,0.033787,0.000455,0.000043,0.070291
