algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,1,128,1,0.002560,0.003146,0.001100,0.000577,0.001221,0.000254
AES,1,128,2,0.002483,0.002556,0.001391,0.000712,0.001167,0.000149
AES,1,128,3,0.001700,0.001710,0.001198,0.000225,0.001330,0.000555
AES,1,128,4,0.001661,0.002131,0.001022,0.000144,0.001197,0.000177
AES,1,128,5,0.001635,0.001644,0.001019,0.000165,0.001190,0.000180
AES,1,128,6,0.001646,0.001660,0.001029,0.000149,0.001165,0.000141
AES,1,128,7,0.001692,0.001644,0.001031,0.000158,0.001193,0.000154
AES,1,128,8,0.001650,0.002133,0.001130,0.000516,0.001186,0.000152
AES,1,128,9,0.001654,0.002426,0.001080,0.000147,0.001195,0.000197
AES,1,128,10,0.001657,0.001683,0.001036,0.000157,0.001171,0.000179
AES,1,256,1,0.001899,0.001964,0.001025,0.000154,0.001224,0.000154
AES,1,256,2,0.002044,0.001931,0.001178,0.000177,0.001217,0.000174
AES,1,256,3,0.002658,0.002744,0.001039,0.000150,0.001213,0.000150
AES,1,256,4,0.001893,0.001883,0.001044,0.000152,0.001192,0.000147
AES,1,256,5,0.001867,0.001962,0.001023,0.000145,0.001223,0.000365
AES,1,256,6,0.001901,0.001893,0.001023,0.000557,0.001206,0.000175
AES,1,256,7,0.001966,0.002339,0.001025,0.000349,0.001244,0.000178
AES,1,256,8,0.001890,0.001917,0.001049,0.000157,0.001175,0.000153
AES,1,256,9,0.001902,0.002374,0.001028,0.000155,0.001196,0.000153
AES,1,256,10,0.001902,0.001958,0.001020,0.000158,0.001218,0.000159
AES,10,128,1,0.025573,0.030344,0.010510,0.005798,0.010474,0.001855
AES,10,128,2,0.024924,0.027017,0.010413,0.006218,0.010801,0.001798
AES,10,128,3,0.016591,0.018601,0.010928,0.001658,0.010595,0.004142
AES,10,128,4,0.016591,0.022427,0.010626,0.001814,0.010619,0.001761
