algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,10,0.000526,0.000008,1902.76,0.001153,0.000161,0.000343,0.000302
SHA256,10,10,0.005079,0.000013,1968.85,0.010217,0.000303,0.002960,0.001913
SHA256,50,10,0.025301,0.000042,1976.17,0.059204,0.007244,0.033443,0.001152
SHA256,100,10,0.050549,0.000123,1978.28,0.119882,0.008331,0.067837,0.001400
SHA256,1000,10,0.505383,0.000789,1978.70,1.134450,0.037552,0.657752,0.028940
SHA3_256,1,10,0.002102,0.000030,475.80,0.001040,0.000042,0.009655,0.030044
SHA3_256,10,10,0.020890,0.000181,478.69,0.010306,0.000082,0.002145,0.001177
SHA3_256,50,10,0.104121,0.000242,480.21,0.055360,0.003672,0.032795,0.000808
SHA3_256,100,10,0.209063,0.002974,478.33,0.112718,0.001195,0.067010,0.001172
SHA3_256,1000,10,2.088257,0.006914,478.87,1.138922,0.034284,0.660385,0.026800
BLAKE3,1,10,0.000256,0.000050,3905.29,0.001066,0.000070,0.009600,0.029880
BLAKE3,10,10,0.002594,0.000021,3855.27,0.010307,0.000093,0.002118,0.001137
BLAKE3,50,10,0.013271,0.000055,3767.61,0.054248,0.001358,0.033229,0.000927
BLAKE3,100,10,0.026604,0.000107,3758.86,0.116151,0.000980,0.067272,0.001563
BLAKE3,1000,10,0.266672,0.002244,3749.93,1.153556,0.023905,0.661007,0.030105
HMAC_SHA256,1,10,0.000543,0.000016,1840.08,0.001038,0.000048,0.009611,0.029928
HMAC_SHA256,10,10,0.005082,0.000010,1967.87,0.010311,0.000089,0.002085,0.001132
HMAC_SHA256,50,10,0.025247,0.000062,1980.40,0.052513,0.001320,0.032370,0.000421
HMAC_SHA256,100,10,0.050588,0.000064,1976.74,0.118019,0.003555,0.066566,0.001792
HMAC_SHA256,1000,10,0.505167,0.000957,1979.54,1.134438,0.029447,0.659671,0.029059
