algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1,1,148.86x,0.003872,0.000594,0.000365,0.000085,0.000017,0.001075
ZLIB,1,2,148.86x,0.003834,0.000602,0.000144,0.000071,0.000016,0.001054
ZLIB,1,3,148.86x,0.003839,0.000596,0.000145,0.000085,0.000018,0.000751
ZLIB,1,4,148.86x,0.003889,0.000713,0.000292,0.000069,0.000017,0.000781
ZLIB,1,5,148.86x,0.003784,0.000839,0.000161,0.000074,0.000016,0.000695
ZLIB,1,6,148.86x,0.003861,0.000589,0.000169,0.000067,0.000019,0.001024
ZLIB,1,7,148.86x,0.003806,0.000619,0.000187,0.000072,0.000010,0.000688
ZLIB,1,8,148.86x,0.003845,0.000614,0.000145,0.000063,0.000015,0.000868
ZLIB,1,9,148.86x,0.003805,0.000592,0.000145,0.000061,0.000010,0.000900
ZLIB,1,10,148.86x,0.003812,0.000613,0.000174,0.000068,0.000016,0.000700
ZLIB,1,11,148.86x,0.003822,0.000643,0.000145,0.000065,0.000015,0.000831
ZLIB,1,12,148.86x,0.003804,0.000599,0.000145,0.000063,0.000015,0.000820
ZLIB,1,13,148.86x,0.003760,0.000583,0.000189,0.000071,0.000014,0.000689
ZLIB,1,14,148.86x,0.003857,0.000589,0.000133,0.000061,0.000015,0.000698
ZLIB,1,15,148.86x,0.003812,0.000601,0.000182,0.000066,0.000023,0.001023
ZLIB,1,16,148.86x,0.003813,0.000610,0.000175,0.000077,0.000015,0.000686
ZLIB,1,17,148.86x,0.003807,0.000611,0.000145,0.000066,0.000014,0.000863
ZLIB,1,18,148.86x,0.003823,0.000609,0.000148,0.000063,0.000015,0.000890
ZLIB,1,19,148.86x,0.003919,0.000619,0.000172,0.000067,0.000010,0.000690
ZLIB,1,20,148.86x,0.003840,0.000634,0.000147,0.000065,0.000015,0.000832
ZLIB,1,21,148.86x,0.003804,0.000588,0.000142,0.000063,0.000011,0.000826
ZLIB,1,22,148.86x,0.003884,0.000572,0.000190,0.000072,0.000015,0.000681
ZLIB,1,23,148.86x,0.003793,0.000584,0.000150,0.000066,0.000015,0.000689
ZLIB,1,24,148.86x,0.003827,0.000590,0.000186,0.000069,0.000014,0.001026
ZLIB,1,25,148.86x,0.003837,0.000631,0.000175,0.000068,0.000014,0.000690
ZLIB,1,26,148.86x,0.003883,0.000623,0.000144,0.000064,0.000015,0.000869
ZLIB,1,27,148.86x,0.003798,0.000574,0.000147,0.000066,0.000014,0.000896
ZLIB,1,28,148.86x,0.004474,0.000615,0.000168,0.000072,0.000010,0.000691
ZLIB,1,29,148.86x,0.003826,0.000638,0.000143,0.000064,0.000015,0.000837
ZLIB,1,30,148.86x,0.003821,0.000624,0.000150,0.000065,0.000015,0.000820
ZLIB,1,31,148.86x,0.003821,0.000580,0.000164,0.000069,0.000015,0.000693
ZLIB,10,1,154.49x,0.038499,0.005790,0.003698,0.000162,0.000017,0.011757
ZLIB,10,2,154.49x,0.038672,0.005667,0.001922,0.000166,0.000019,0.009848
