algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,148.86x,0.003851,0.000121,0.000616,0.000050,0.000170,0.000047,0.000815,0.000126
ZLIB,10,31,154.49x,0.038778,0.000986,0.005684,0.000173,0.002265,0.000580,0.008291,0.001560
ZLIB,50,31,158.47x,0.194226,0.004018,0.029178,0.004267,0.021022,0.000526,0.059229,0.002309
ZLIB,100,31,158.75x,0.390573,0.017960,0.078222,0.004201,0.040831,0.000400,0.120887,0.000395
ZLIB,1000,31,159.01x,3.868568,0.008910,1.476528,1.075322,0.410128,0.014501,1.294297,0.009949
BZ2,1,31,1191.56x,0.188870,0.001345,0.000577,0.000014,0.001303,0.006537,0.010212,0.006552
BZ2,10,31,1878.50x,2.049348,0.128766,0.009341,0.004181,0.001945,0.000135,0.091187,0.003442
BZ2,50,31,1917.59x,9.802571,0.010200,0.047918,0.003216,0.020332,0.000493,0.486121,0.003371
BZ2,100,31,1930.23x,19.643553,0.277027,0.096426,0.004304,0.039636,0.000363,0.976955,0.003674
BZ2,1000,31,1937.27x,200.445598,3.942908,0.925403,0.052524,0.406518,0.011973,9.717377,0.057019
LZMA,1,31,2545.09x,0.022068,0.001090,0.000610,0.000024,0.001337,0.006538,0.001748,0.006499
LZMA,10,31,5851.43x,0.193906,0.001604,0.005627,0.000152,0.002163,0.000651,0.005023,0.000331
LZMA,50,31,6643.28x,0.899605,0.001592,0.028297,0.002480,0.021151,0.000416,0.049013,0.003554
LZMA,100,31,6758.03x,1.777177,0.001694,0.085087,0.006236,0.040644,0.000588,0.090351,0.002810
LZMA,1000,31,6862.95x,17.584714,0.033049,0.945207,0.008875,0.407261,0.011742,1.056835,0.011802
LZ4,1,31,60.91x,0.000118,0.000005,0.000565,0.000077,0.001315,0.006544,0.001356,0.006532
LZ4,10,31,61.39x,0.001201,0.000046,0.007557,0.002386,0.002206,0.000436,0.002679,0.001381
LZ4,50,31,61.50x,0.006668,0.000069,0.028050,0.000632,0.021416,0.000510,0.035752,0.000523
LZ4,100,31,61.73x,0.012968,0.000136,0.079346,0.002727,0.041309,0.000356,0.070743,0.000497
LZ4,1000,31,61.66x,0.127286,0.002024,1.016941,0.274019,0.408422,0.014741,0.748469,0.011490
ZSTD,1,31,104.13x,0.000365,0.000072,0.000599,0.000150,0.001377,0.006549,0.001302,0.006512
ZSTD,10,31,535.21x,0.002176,0.000530,0.006101,0.001280,0.001984,0.000120,0.001209,0.000495
ZSTD,50,31,2237.49x,0.009169,0.000633,0.067560,0.036679,0.020957,0.000756,0.015795,0.000627
ZSTD,100,31,3714.14x,0.017608,0.000336,0.130845,0.031498,0.041068,0.000747,0.030681,0.000681
ZSTD,1000,31,9147.32x,0.170699,0.000674,1.446398,1.903985,0.411930,0.015255,0.318869,0.013305
