algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,1,128,1,0.002383,0.002484,0.000714,0.000465,0.000790,0.000227
AES,1,128,2,0.002187,0.002344,0.000728,0.000531,0.000784,0.000215
AES,1,128,3,0.001885,0.001764,0.001157,0.000315,0.000716,0.000388
AES,1,128,4,0.001994,0.002061,0.000616,0.000175,0.000718,0.000171
AES,1,128,5,0.001778,0.001843,0.000628,0.000185,0.000760,0.000182
AES,1,128,6,0.001770,0.001949,0.000547,0.000158,0.000721,0.000165
AES,1,128,7,0.001776,0.001778,0.000559,0.000161,0.000701,0.000185
AES,1,128,8,0.001770,0.001777,0.000551,0.000155,0.000720,0.000169
AES,1,128,9,0.001770,0.001787,0.000564,0.000158,0.000701,0.000191
AES,1,128,10,0.001770,0.001794,0.000543,0.000159,0.000710,0.000171
AES,1,128,11,0.001774,0.002085,0.000552,0.000156,0.000729,0.000170
AES,1,128,12,0.001755,0.001859,0.000540,0.000159,0.000741,0.000169
AES,1,128,13,0.001780,0.001856,0.000546,0.000155,0.000740,0.000171
AES,1,128,14,0.001766,0.001958,0.000556,0.000158,0.000721,0.000172
AES,1,128,15,0.001771,0.002078,0.000548,0.000168,0.000758,0.000165
AES,1,128,16,0.001772,0.001777,0.000550,0.000156,0.000707,0.000166
AES,1,128,17,0.001766,0.001849,0.000547,0.000160,0.000739,0.000158
AES,1,128,18,0.001761,0.001860,0.000546,0.000158,0.000739,0.000168
AES,1,128,19,0.001774,0.001766,0.000552,0.000159,0.000719,0.000167
AES,1,128,20,0.001758,0.001954,0.000543,0.000305,0.000698,0.000189
AES,1,128,21,0.001748,0.001778,0.000559,0.000161,0.000710,0.000169
AES,1,128,22,0.001792,0.001767,0.000552,0.000156,0.000709,0.000192
AES,1,128,23,0.001751,0.001784,0.000558,0.000157,0.000714,0.000171
AES,1,128,24,0.001947,0.001962,0.000553,0.000158,0.000723,0.000168
AES,1,128,25,0.001783,0.002075,0.000554,0.000157,0.000738,0.000172
AES,1,128,26,0.001761,0.001850,0.000550,0.000158,0.000719,0.000200
AES,1,128,27,0.001754,0.002257,0.000551,0.000159,0.000738,0.000172
AES,1,128,28,0.001772,0.001845,0.000542,0.000161,0.000729,0.000182
AES,1,128,29,0.001801,0.001787,0.000557,0.000155,0.000719,0.000169
AES,1,128,30,0.001770,0.001829,0.000547,0.000159,0.000720,0.000179
AES,1,128,31,0.001780,0.001773,0.000555,0.000159,0.000729,0.000172
AES,1,256,1,0.002021,0.002318,0.000569,0.000346,0.000740,0.000170
AES,1,256,2,0.002023,0.002237,0.000666,0.000213,0.000708,0.000180
AES,1,256,3,0.002100,0.002657,0.000590,0.000158,0.001097,0.000444
AES,1,256,4,0.002056,0.002138,0.000810,0.000177,0.000736,0.000186
AES,1,256,5,0.002056,0.002216,0.000561,0.000157,0.000735,0.000171
AES,1,256,6,0.002047,0.002336,0.000550,0.000160,0.000720,0.000179
AES,1,256,7,0.002026,0.002032,0.000550,0.000155,0.000718,0.000168
AES,1,256,8,0.002034,0.002120,0.000542,0.000159,0.000736,0.000177
