algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,1,1,0.000623,0.000823,0.001178
SHA256,1,2,0.000554,0.000990,0.000560
SHA256,1,3,0.000544,0.000579,0.000377
SHA256,1,4,0.000554,0.000568,0.000232
SHA256,1,5,0.000551,0.000566,0.000171
SHA256,1,6,0.000553,0.000541,0.000174
SHA256,1,7,0.000567,0.000610,0.000220
SHA256,1,8,0.000558,0.000745,0.000356
SHA256,1,9,0.000549,0.000563,0.000165
SHA256,1,10,0.000552,0.000545,0.000167
SHA256,1,11,0.000548,0.000536,0.000178
SHA256,1,12,0.000547,0.000580,0.000203
SHA256,1,13,0.000550,0.000566,0.000181
SHA256,1,14,0.000562,0.000545,0.000167
SHA256,1,15,0.000559,0.000556,0.000167
SHA256,1,16,0.000552,0.000535,0.000171
SHA256,1,17,0.000552,0.000550,0.000166
SHA256,1,18,0.000556,0.000541,0.000167
SHA256,1,19,0.000552,0.000541,0.000166
SHA256,1,20,0.000548,0.000534,0.000166
SHA256,1,21,0.000550,0.000537,0.000169
SHA256,1,22,0.000554,0.000548,0.000169
SHA256,1,23,0.000553,0.000536,0.000166
SHA256,1,24,0.000551,0.000543,0.000164
SHA256,1,25,0.000552,0.000545,0.000168
SHA256,1,26,0.000550,0.000536,0.000166
SHA256,1,27,0.000548,0.000547,0.000166
SHA256,1,28,0.000551,0.000528,0.000169
SHA256,1,29,0.000556,0.000542,0.000166
SHA256,1,30,0.000556,0.000541,0.000164
SHA256,1,31,0.000556,0.000550,0.000172
SHA256,10,1,0.005398,0.007749,0.004604
SHA256,10,2,0.005377,0.005945,0.004721
SHA256,10,3,0.005359,0.006054,0.003973
SHA256,10,4,0.005450,0.006126,0.002108
SHA256,10,5,0.005452,0.006020,0.002169
SHA256,10,6,0.005447,0.006072,0.002152
SHA256,10,7,0.005450,0.006137,0.002121
SHA256,10,8,0.005454,0.006004,0.002192
SHA256,10,9,0.005446,0.006111,0.002152
SHA256,10,10,0.005451,0.006103,0.002089
SHA256,10,11,0.005450,0.006012,0.002212
SHA256,10,12,0.005452,0.006152,0.002140
SHA256,10,13,0.005459,0.006128,0.002118
SHA256,10,14,0.005450,0.006003,0.002189
SHA256,10,15,0.005448,0.006085,0.002135
SHA256,10,16,0.005445,0.006126,0.002109
SHA256,10,17,0.005447,0.005980,0.002163
SHA256,10,18,0.005440,0.006119,0.002154
SHA256,10,19,0.005448,0.006149,0.002088
SHA256,10,20,0.005454,0.005992,0.002222
SHA256,10,21,0.005464,0.006171,0.002095
SHA256,10,22,0.005450,0.006092,0.002144
SHA256,10,23,0.005447,0.006013,0.002156
SHA256,10,24,0.005448,0.006129,0.002182
SHA256,10,25,0.005434,0.006103,0.002124
SHA256,10,26,0.005446,0.005979,0.002157
SHA256,10,27,0.005452,0.006079,0.002157
SHA256,10,28,0.005441,0.006112,0.002126
SHA256,10,29,0.005452,0.005984,0.002207
SHA256,10,30,0.005442,0.006101,0.002154
SHA256,10,31,0.005451,0.006042,0.002124
SHA256,50,1,0.026697,0.031052,0.023919
SHA256,50,2,0.026705,0.029811,0.023580
SHA256,50,3,0.026692,0.422761,0.023857
SHA256,50,4,0.026735,0.522764,0.023715
SHA256,50,5,0.026660,0.408174,0.023612
SHA256,50,6,0.026938,0.051458,0.023018
SHA256,50,7,0.026705,0.416833,0.024117
SHA256,50,8,0.026646,0.392675,0.023657
SHA256,50,9,0.026669,0.458289,0.023888
SHA256,50,10,0.026672,0.480112,0.023784
SHA256,50,11,0.026700,0.480210,0.023858
SHA256,50,12,0.026684,0.451653,0.023825
SHA256,50,13,0.026789,0.112997,0.023413
SHA256,50,14,0.026693,0.473433,0.023940
SHA256,50,15,0.026692,0.464765,0.023549
SHA256,50,16,0.026655,0.401570,0.023651
SHA256,50,17,0.026626,0.390737,0.023644
