algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
BZ2,1,10,1191.56x,0.216025,0.007660,0.001122,0.000077,0.010858,0.033778,0.018967,0.029290
BZ2,10,10,1878.50x,2.294972,0.041977,0.011602,0.001206,0.001942,0.000092,0.105446,0.004996
BZ2,50,10,1917.59x,11.050941,0.108269,0.060965,0.002058,0.033832,0.001628,0.568350,0.021960
BZ2,100,10,1930.23x,22.192915,0.206142,0.121706,0.002545,0.068724,0.003812,1.143441,0.021695
BZ2,1000,10,1937.27x,225.867657,4.348640,1.169284,0.029013,0.675087,0.024735,11.473680,0.188798
LZ4,1,10,60.91x,0.000737,0.001972,0.001045,0.000025,0.010210,0.031804,0.008993,0.027942
LZ4,10,10,61.39x,0.001131,0.000065,0.010533,0.000775,0.001992,0.000807,0.003477,0.003443
LZ4,50,10,61.50x,0.006590,0.000257,0.057172,0.007772,0.032855,0.001843,0.060161,0.001929
LZ4,100,10,61.73x,0.013187,0.000283,0.117190,0.001712,0.069046,0.001448,0.124768,0.002055
LZ4,1000,10,61.66x,0.129426,0.002675,1.157850,0.043748,0.674879,0.027179,1.202031,0.027606
LZMA,1,10,2545.09x,0.024810,0.002920,0.001089,0.000017,0.009510,0.029525,0.010633,0.028647
LZMA,10,10,5851.43x,0.191745,0.002969,0.010409,0.000217,0.001795,0.000099,0.004770,0.000732
LZMA,50,10,6643.28x,0.826719,0.002649,0.054871,0.001162,0.032016,0.001280,0.065167,0.007036
LZMA,100,10,6758.03x,1.613766,0.007820,0.114924,0.003334,0.067210,0.002055,0.144269,0.008947
LZMA,1000,10,6862.95x,15.829199,0.030429,1.172066,0.027086,0.674183,0.028403,1.483928,0.033972
ZLIB,1,10,148.86x,0.003354,0.000091,0.001146,0.000076,0.000249,0.000156,0.000800,0.000337
ZLIB,10,10,154.49x,0.033397,0.000195,0.011068,0.000300,0.002518,0.001453,0.008499,0.003458
ZLIB,50,10,158.47x,0.166714,0.000700,0.057090,0.002163,0.034386,0.002982,0.070060,0.002226
ZLIB,100,10,158.75x,0.340117,0.018981,0.117610,0.004119,0.068481,0.002046,0.149379,0.001412
ZLIB,1000,10,159.01x,3.432745,0.153704,1.170274,0.037059,0.675668,0.026563,1.557613,0.015555
ZSTD,1,10,104.13x,0.000416,0.000271,0.001092,0.000034,0.010780,0.032190,0.008915,0.027825
ZSTD,10,10,535.21x,0.002018,0.000122,0.010188,0.000425,0.001814,0.000067,0.001258,0.001259
ZSTD,50,10,2237.49x,0.008747,0.000108,0.054587,0.002516,0.033098,0.001782,0.028187,0.001387
ZSTD,100,10,3714.14x,0.017055,0.000185,0.120460,0.004978,0.068900,0.001966,0.057141,0.000946
ZSTD,1000,10,9147.32x,0.164737,0.001423,1.138748,0.019963,0.669200,0.025573,0.559998,0.029375
