algoritmo,size_mb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,10,0.001349,0.000304,0.000187,0.000180,0.001047,0.000026,0.000286,0.000207
RS,10,4,2,10,0.013348,0.002388,0.003057,0.001967,0.010622,0.000377,0.003446,0.002149
RS,50,4,2,10,0.077390,0.013898,0.023355,0.011256,0.055288,0.004049,0.027402,0.009443
RS,100,4,2,10,0.146329,0.028835,0.047828,0.020510,0.116297,0.003135,0.053698,0.020268
RS,1000,4,2,10,1.896996,0.036672,0.590280,0.021806,1.121848,0.018776,0.655356,0.028456
RS,1,8,4,10,0.002367,0.000287,0.000174,0.000160,0.001107,0.000041,0.000203,0.000066
RS,10,8,4,10,0.022121,0.000399,0.001671,0.001139,0.010826,0.000397,0.001809,0.000080
RS,50,8,4,10,0.112258,0.006965,0.026525,0.009475,0.055180,0.003320,0.029070,0.009299
RS,100,8,4,10,0.227621,0.012613,0.062587,0.002852,0.119662,0.006276,0.064288,0.013423
RS,1000,8,4,10,2.949521,0.009731,0.594453,0.004383,1.130467,0.021860,0.669115,0.007805
RS,1,10,4,10,0.002255,0.000052,0.000158,0.000136,0.001155,0.000106,0.000218,0.000126
RS,10,10,4,10,0.021955,0.000033,0.002454,0.001475,0.010650,0.000119,0.001820,0.000079
RS,50,10,4,10,0.112273,0.006610,0.025561,0.009038,0.055432,0.000553,0.029626,0.007500
RS,100,10,4,10,0.225433,0.013410,0.063461,0.000501,0.119926,0.006230,0.069250,0.000987
RS,1000,10,4,10,2.900744,0.005616,0.596160,0.005819,1.138942,0.025623,0.670222,0.005710
