algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,1,128,31,0.006015,0.000122,0.006162,0.000149,0.000249,0.000037,0.000322,0.000062
AES,10,128,31,0.060832,0.005296,0.063389,0.002207,0.003384,0.000141,0.003113,0.000210
AES,50,128,31,0.300372,0.003263,0.320683,0.004766,0.016432,0.000892,0.017590,0.000481
AES,100,128,31,0.591529,0.003834,0.630306,0.004257,0.030362,0.000910,0.033151,0.001307
AES,1000,128,31,5.832497,0.018119,6.221154,0.021299,0.298175,0.004479,0.317207,0.005187
AES,1,256,31,0.007836,0.000250,0.007993,0.000115,0.000235,0.000028,0.000335,0.000050
AES,10,256,31,0.076326,0.001646,0.080472,0.002381,0.003350,0.000046,0.003098,0.000183
AES,50,256,31,0.379960,0.003687,0.402141,0.002593,0.016023,0.000567,0.017510,0.000443
AES,100,256,31,0.750359,0.003929,0.797584,0.005055,0.030368,0.000623,0.033228,0.001223
AES,1000,256,31,7.429952,0.014682,7.873609,0.011753,0.299118,0.004169,0.319433,0.001709
CHACHA20,1,256,31,0.004137,0.000051,0.004005,0.000049,0.000256,0.000047,0.000977,0.004226
CHACHA20,10,256,31,0.041766,0.000318,0.041549,0.000206,0.002934,0.000131,0.002750,0.000177
CHACHA20,50,256,31,0.214490,0.001219,0.214197,0.000957,0.015587,0.000668,0.016200,0.000575
CHACHA20,100,256,31,0.431072,0.001746,0.431801,0.002331,0.031060,0.001026,0.033890,0.001306
CHACHA20,1000,256,31,4.278766,0.005078,4.275890,0.004042,0.306795,0.006083,0.319970,0.004701
