algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1,1,148.86x,0.006702,0.000254,0.000286,0.000048,0.000016,0.000954
ZLIB,1,2,148.86x,0.006623,0.000403,0.000291,0.000046,0.000016,0.000918
ZLIB,1,3,148.86x,0.006670,0.000296,0.000300,0.000061,0.000016,0.000931
ZLIB,1,4,148.86x,0.006671,0.000407,0.000351,0.000042,0.000014,0.000816
ZLIB,1,5,148.86x,0.006638,0.000342,0.000284,0.000048,0.000015,0.000895
ZLIB,1,6,148.86x,0.006604,0.000344,0.000328,0.000043,0.000016,0.000881
ZLIB,1,7,148.86x,0.006587,0.000384,0.000359,0.000045,0.000015,0.000802
ZLIB,1,8,148.86x,0.006652,0.000381,0.000341,0.000039,0.000016,0.000893
ZLIB,1,9,148.86x,0.006625,0.000202,0.000299,0.000048,0.000016,0.000961
ZLIB,1,10,148.86x,0.006582,0.000259,0.000355,0.000044,0.000016,0.000817
ZLIB,1,11,148.86x,0.006668,0.000401,0.000277,0.000038,0.000015,0.000801
ZLIB,1,12,148.86x,0.006579,0.000300,0.000315,0.000039,0.000015,0.000873
ZLIB,1,13,148.86x,0.006571,0.000375,0.000311,0.000040,0.000015,0.000808
ZLIB,1,14,148.86x,0.006603,0.000264,0.000462,0.000040,0.000016,0.000927
ZLIB,1,15,148.86x,0.006664,0.000421,0.000378,0.000039,0.000014,0.000817
ZLIB,1,16,148.86x,0.006569,0.000380,0.000400,0.000040,0.000014,0.000908
ZLIB,1,17,148.86x,0.006567,0.000338,0.000244,0.000039,0.000015,0.000827
ZLIB,1,18,148.86x,0.006679,0.000270,0.000358,0.000043,0.000015,0.000814
ZLIB,1,19,148.86x,0.006591,0.000394,0.000268,0.000041,0.000015,0.000808
ZLIB,1,20,148.86x,0.006601,0.000328,0.000273,0.000040,0.000014,0.000934
ZLIB,1,21,148.86x,0.006605,0.000354,0.000346,0.000039,0.000015,0.000812
ZLIB,1,22,148.86x,0.006675,0.000375,0.000372,0.000041,0.000015,0.000845
ZLIB,1,23,148.86x,0.006608,0.000331,0.000260,0.000040,0.000015,0.000807
ZLIB,1,24,148.86x,0.006594,0.000326,0.000345,0.000038,0.000015,0.000809
ZLIB,1,25,148.86x,0.006653,0.000352,0.000390,0.000039,0.000014,0.000887
ZLIB,1,26,148.86x,0.006614,0.000197,0.000285,0.000047,0.000016,0.000941
ZLIB,1,27,148.86x,0.006608,0.000265,0.000355,0.000045,0.000015,0.000822
ZLIB,1,28,148.86x,0.006600,0.000406,0.000264,0.000038,0.000015,0.000800
ZLIB,1,29,148.86x,0.006659,0.000252,0.000292,0.000040,0.000014,0.000811
ZLIB,1,30,148.86x,0.006580,0.000305,0.000357,0.000036,0.000013,0.000832
ZLIB,1,31,148.86x,0.006603,0.000361,0.000349,0.000037,0.000015,0.000837
ZLIB,10,1,154.49x,0.066611,0.003385,0.003411,0.000086,0.000022,0.011021
ZLIB,10,2,154.49x,0.081811,0.003225,0.002946,0.000074,0.000028,0.010285
ZLIB,10,3,154.49x,0.066598,0.003155,0.002821,0.000090,0.000025,0.010494
ZLIB,10,4,154.49x,0.066644,0.003383,0.003269,0.000082,0.000022,0.009289
ZLIB,10,5,154.49x,0.066637,0.003295,0.003204,0.000077,0.000793,0.010730
ZLIB,10,6,154.49x,0.066712,0.003225,0.003180,0.000067,0.000024,0.010781
ZLIB,10,7,154.49x,0.066464,0.003106,0.002950,0.000065,0.000022,0.009135
ZLIB,10,8,154.49x,0.066516,0.003327,0.003290,0.000075,0.000523,0.010313
ZLIB,10,9,154.49x,0.066513,0.003144,0.002894,0.000070,0.000024,0.008983
ZLIB,10,10,154.49x,0.082249,0.002906,0.002889,0.000069,0.000025,0.009584
ZLIB,10,11,154.49x,0.066366,0.003153,0.002770,0.000070,0.000027,0.009393
ZLIB,10,12,154.49x,0.066490,0.003199,0.002973,0.000072,0.000028,0.009027
ZLIB,10,13,154.49x,0.066595,0.002929,0.002799,0.000072,0.000025,0.010194
ZLIB,10,14,154.49x,0.066492,0.003442,0.003628,0.000071,0.000025,0.009081
ZLIB,10,15,154.49x,0.066661,0.003246,0.003723,0.000080,0.000026,0.010645
ZLIB,10,16,154.49x,0.066579,0.003208,0.003024,0.000073,0.000025,0.009014
ZLIB,10,17,154.49x,0.066442,0.002988,0.002823,0.000073,0.000023,0.010494
ZLIB,10,18,154.49x,0.066573,0.003195,0.003034,0.000066,0.000024,0.009100
ZLIB,10,19,154.49x,0.066370,0.003000,0.002807,0.000063,0.000025,0.009115
ZLIB,10,20,154.49x,0.066634,0.003069,0.003166,0.000076,0.000027,0.010325
ZLIB,10,21,154.49x,0.066457,0.003069,0.002713,0.000074,0.000025,0.010073
ZLIB,10,22,154.49x,0.082204,0.003205,0.002996,0.000070,0.000024,0.009924
ZLIB,10,23,154.49x,0.066520,0.003360,0.003362,0.000075,0.000023,0.009578
ZLIB,10,24,154.49x,0.066556,0.002983,0.002959,0.000075,0.000021,0.009597
ZLIB,10,25,154.49x,0.066386,0.003414,0.003479,0.000079,0.000022,0.009681
ZLIB,10,26,154.49x,0.066602,0.003146,0.002931,0.000070,0.000024,0.008999
ZLIB,10,27,154.49x,0.066566,0.003007,0.002801,0.000070,0.000022,0.009306
ZLIB,10,28,154.49x,0.066358,0.003059,0.002952,0.000072,0.000023,0.009211
ZLIB,10,29,154.49x,0.066689,0.003417,0.003535,0.000073,0.000022,0.009198
ZLIB,10,30,154.49x,0.066558,0.003145,0.003032,0.000065,0.000023,0.009393
ZLIB,10,31,154.49x,0.066554,0.002953,0.003194,0.000080,0.000028,0.010555
ZLIB,50,1,158.47x,0.332453,0.016889,0.016699,0.000171,0.000072,0.052898
ZLIB,50,2,158.47x,0.332358,0.016175,0.016964,0.000131,0.000067,0.054726
ZLIB,50,3,158.47x,0.332097,0.015387,0.016815,0.000149,0.000077,0.055569
ZLIB,50,4,158.47x,0.332306,0.016351,0.017059,0.000128,0.000045,0.055650
ZLIB,50,5,158.47x,0.331871,0.016391,0.016611,0.000127,0.000047,0.055796
ZLIB,50,6,158.47x,0.332755,0.014902,0.016385,0.000125,0.000047,0.056053
ZLIB,50,7,158.47x,0.331734,0.016989,0.017491,0.000129,0.000049,0.054425
ZLIB,50,8,158.47x,0.332384,0.015712,0.016762,0.000127,0.000044,0.055090
ZLIB,50,9,158.47x,0.331571,0.016211,0.017591,0.000146,0.000074,0.054263
ZLIB,50,10,158.47x,0.332717,0.016156,0.017118,0.000128,0.000046,0.055270
ZLIB,50,11,158.47x,0.332025,0.016297,0.016535,0.000128,0.000049,0.055094
ZLIB,50,12,158.47x,0.332220,0.016661,0.016788,0.000127,0.000046,0.055684
ZLIB,50,13,158.47x,0.331881,0.015547,0.016646,0.000135,0.000051,0.054319
ZLIB,50,14,158.47x,0.332603,0.015849,0.017166,0.000129,0.000048,0.054508
ZLIB,50,15,158.47x,0.331635,0.017109,0.017669,0.000130,0.000048,0.055786
ZLIB,50,16,158.47x,0.332821,0.016316,0.017133,0.000136,0.000051,0.055544
ZLIB,50,17,158.47x,0.331699,0.016427,0.016677,0.000129,0.000049,0.055085
ZLIB,50,18,158.47x,0.332574,0.016755,0.016933,0.000125,0.000044,0.055264
ZLIB,50,19,158.47x,0.331709,0.016941,0.017592,0.000130,0.000051,0.054600
ZLIB,50,20,158.47x,0.333002,0.016713,0.018120,0.000125,0.000045,0.055304
ZLIB,50,21,158.47x,0.332044,0.016589,0.017613,0.000130,0.000050,0.054418
ZLIB,50,22,158.47x,0.332826,0.015832,0.017011,0.000146,0.000066,0.055192
ZLIB,50,23,158.47x,0.332437,0.016407,0.016860,0.000129,0.000052,0.055851
ZLIB,50,24,158.47x,0.332398,0.016063,0.016670,0.000124,0.000043,0.055763
ZLIB,50,25,158.47x,0.331855,0.015400,0.016544,0.000126,0.000049,0.054149
ZLIB,50,26,158.47x,0.332586,0.015321,0.016733,0.000128,0.000045,0.055188
ZLIB,50,27,158.47x,0.331710,0.017028,0.017631,0.000133,0.000054,0.055380
ZLIB,50,28,158.47x,0.332337,0.016512,0.017418,0.000126,0.000044,0.056105
ZLIB,50,29,158.47x,0.332025,0.016215,0.016799,0.000129,0.000048,0.056017
ZLIB,50,30,158.47x,0.332595,0.016660,0.016933,0.000130,0.000046,0.054741
ZLIB,50,31,158.47x,0.331942,0.016762,0.017417,0.000128,0.000049,0.054601
ZLIB,100,1,158.75x,0.657055,0.033482,0.032365,0.000205,0.000092,0.108159
ZLIB,100,2,158.75x,0.657476,0.031272,0.033704,0.000232,0.000157,0.108920
ZLIB,100,3,158.75x,0.658860,0.029554,0.032391,0.000251,0.000164,0.110008
ZLIB,100,4,158.75x,0.656757,0.030393,0.032359,0.000191,0.000083,0.111739
ZLIB,100,5,158.75x,0.657540,0.030678,0.030955,0.000249,0.000157,0.109695
ZLIB,100,6,158.75x,0.656614,0.031674,0.032153,0.000194,0.000085,0.110052
ZLIB,100,7,158.75x,0.658623,0.032614,0.033835,0.000244,0.000156,0.107110
ZLIB,100,8,158.75x,0.656519,0.030559,0.032813,0.000190,0.000091,0.109371
ZLIB,100,9,158.75x,0.657831,0.029373,0.032798,0.000252,0.000149,0.111976
ZLIB,100,10,158.75x,0.655967,0.030500,0.032409,0.000192,0.000092,0.113583
ZLIB,100,11,158.75x,0.658760,0.030912,0.031293,0.000257,0.000169,0.114124
