algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,148.86x,0.006621,0.000038,0.000331,0.000062,0.000326,0.000049,0.000858,0.000054
ZLIB,10,31,154.49x,0.068045,0.004674,0.003172,0.000154,0.003082,0.000269,0.009759,0.000650
ZLIB,50,31,158.47x,0.332231,0.000407,0.016276,0.000560,0.017045,0.000425,0.055108,0.000709
ZLIB,100,31,158.75x,0.657954,0.001292,0.030725,0.001143,0.032189,0.000927,0.109819,0.001710
ZLIB,1000,31,159.01x,6.629516,0.283862,0.303936,0.005840,0.322826,0.007698,1.092114,0.007666
BZ2,1,31,1191.56x,0.616038,0.004268,0.000375,0.000024,0.001072,0.004116,0.016492,0.004049
BZ2,10,31,1878.50x,6.555685,0.055223,0.003410,0.000163,0.003057,0.000169,0.160256,0.002328
BZ2,50,31,1917.59x,34.593073,0.366140,0.016685,0.000787,0.017846,0.000388,0.855427,0.013117
BZ2,100,31,1930.23x,70.616970,0.282665,0.031223,0.001407,0.033413,0.000996,1.757350,0.010983
BZ2,1000,31,1937.27x,709.355476,3.258332,0.307729,0.003479,0.326107,0.004197,17.206112,0.100162
LZMA,1,31,2545.09x,0.029284,0.000641,0.000404,0.000027,0.001070,0.004019,0.002633,0.004009
LZMA,10,31,5851.43x,0.273768,0.003020,0.003162,0.000150,0.002950,0.000227,0.019244,0.000407
LZMA,50,31,6643.28x,1.354455,0.007173,0.015652,0.000286,0.017244,0.000301,0.105882,0.001574
LZMA,100,31,6758.03x,2.700442,0.009347,0.030609,0.000680,0.033766,0.000725,0.210249,0.002589
LZMA,1000,31,6862.95x,26.670634,0.092665,0.307299,0.003722,0.326549,0.004727,2.059779,0.009362
LZ4,1,31,60.91x,0.000234,0.000005,0.000315,0.000069,0.000995,0.004174,0.001090,0.004063
LZ4,10,31,61.39x,0.002272,0.000023,0.003258,0.000195,0.003049,0.000299,0.004772,0.000352
LZ4,50,31,61.50x,0.011701,0.000265,0.014977,0.000380,0.015925,0.000348,0.027504,0.000484
LZ4,100,31,61.73x,0.024152,0.002457,0.030538,0.000800,0.033458,0.001295,0.057493,0.002255
LZ4,1000,31,61.66x,0.254877,0.016590,0.310805,0.004326,0.333691,0.008036,0.576345,0.014408
ZSTD,1,31,104.13x,0.000664,0.000026,0.000316,0.000053,0.001049,0.004307,0.001067,0.004275
ZSTD,10,31,535.21x,0.004199,0.000623,0.002941,0.000098,0.002754,0.000093,0.002612,0.000108
ZSTD,50,31,2237.49x,0.018959,0.002920,0.015320,0.000525,0.016392,0.000849,0.012569,0.001035
ZSTD,100,31,3714.14x,0.035135,0.002980,0.030591,0.001099,0.033861,0.001902,0.024936,0.001192
ZSTD,1000,31,9147.32x,0.358756,0.019020,0.313115,0.004649,0.334290,0.007053,0.243420,0.013050
