algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,1,128,1,0.006103,0.006272,0.000220,0.000430,0.000361,0.000288
AES,1,128,2,0.005942,0.006193,0.000209,0.000454,0.000363,0.000325
AES,1,128,3,0.005853,0.005868,0.000285,0.000231,0.000353,0.000480
AES,1,128,4,0.005830,0.006056,0.000208,0.000358,0.000353,0.000295
AES,1,128,5,0.005833,0.006015,0.000241,0.000288,0.000355,0.000372
AES,1,128,6,0.006104,0.006208,0.000301,0.000264,0.000363,0.000374
AES,1,128,7,0.006124,0.006160,0.000277,0.000291,0.000351,0.000369
AES,1,128,8,0.006098,0.006334,0.000332,0.000348,0.000346,0.000274
AES,1,128,9,0.006118,0.006408,0.000245,0.000281,0.000378,0.000278
AES,1,128,10,0.006127,0.006227,0.000251,0.000293,0.000453,0.000343
AES,1,128,11,0.006129,0.006290,0.000226,0.000325,0.000410,0.000297
AES,1,128,12,0.006105,0.006285,0.000216,0.000309,0.000412,0.000283
AES,1,128,13,0.006180,0.006474,0.000289,0.000240,0.000342,0.000290
AES,1,128,14,0.006117,0.006155,0.000258,0.000279,0.000353,0.000356
AES,1,128,15,0.006077,0.006315,0.000323,0.000257,0.000400,0.000370
AES,1,128,16,0.006128,0.006098,0.000207,0.000393,0.000374,0.000375
AES,1,128,17,0.005969,0.006041,0.000211,0.000440,0.000462,0.000345
AES,1,128,18,0.005948,0.006100,0.000247,0.000302,0.000411,0.000340
AES,1,128,19,0.005976,0.006198,0.000274,0.000291,0.000345,0.000291
AES,1,128,20,0.005964,0.006123,0.000264,0.000283,0.000400,0.000273
AES,1,128,21,0.005982,0.006271,0.000224,0.000319,0.000377,0.000302
AES,1,128,22,0.006113,0.006162,0.000258,0.000276,0.000350,0.000374
AES,1,128,23,0.006107,0.006159,0.000229,0.000349,0.000357,0.000464
AES,1,128,24,0.006102,0.006307,0.000220,0.000431,0.000408,0.000276
AES,1,128,25,0.006127,0.006162,0.000259,0.000261,0.000352,0.000364
AES,1,128,26,0.006111,0.006288,0.000251,0.000320,0.000407,0.000384
AES,1,128,27,0.005873,0.005863,0.000200,0.000402,0.000368,0.000380
AES,1,128,28,0.005839,0.005922,0.000285,0.000370,0.000435,0.000327
AES,1,128,29,0.005816,0.005969,0.000214,0.000316,0.000408,0.000329
AES,1,128,30,0.005819,0.006063,0.000300,0.000250,0.000342,0.000302
AES,1,128,31,0.005844,0.006031,0.000207,0.000326,0.000405,0.000275
AES,1,256,1,0.007516,0.008061,0.000234,0.000318,0.000405,0.000286
AES,1,256,2,0.007667,0.007795,0.000258,0.000257,0.000355,0.000372
AES,1,256,3,0.007675,0.007774,0.000250,0.000319,0.000367,0.000473
AES,1,256,4,0.007690,0.007932,0.000214,0.000413,0.000403,0.000278
AES,1,256,5,0.007679,0.007816,0.000270,0.000252,0.000347,0.000365
AES,1,256,6,0.007879,0.008121,0.000228,0.000341,0.000415,0.000362
AES,1,256,7,0.007871,0.007962,0.000221,0.000383,0.000358,0.000369
AES,1,256,8,0.007868,0.008024,0.000214,0.000427,0.000441,0.000331
AES,1,256,9,0.007862,0.008070,0.000219,0.000322,0.000412,0.000342
AES,1,256,10,0.007848,0.007963,0.000268,0.000275,0.000344,0.000295
AES,1,256,11,0.007683,0.007910,0.000211,0.000317,0.000406,0.000276
AES,1,256,12,0.007758,0.008114,0.000300,0.000290,0.000385,0.000311
AES,1,256,13,0.007677,0.007821,0.000213,0.000313,0.000351,0.000374
AES,1,256,14,0.007689,0.007772,0.000227,0.000332,0.000347,0.000460
AES,1,256,15,0.007886,0.008125,0.000220,0.000408,0.000409,0.000289
AES,1,256,16,0.007861,0.008008,0.000227,0.000304,0.000345,0.000412
AES,1,256,17,0.007861,0.008123,0.000318,0.000296,0.000412,0.000373
AES,1,256,18,0.009076,0.007999,0.000212,0.000405,0.000363,0.000369
