size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
1,4,2,1,0.001885,0.000487,0.001020,0.000540,0.001737,0.000911
1,4,2,2,0.001902,0.000553,0.001094,0.000659,0.001887,0.000936
1,4,2,3,0.001498,0.000093,0.001036,0.000548,0.001798,0.000287
1,4,2,4,0.001152,0.000202,0.001054,0.000149,0.001780,0.000281
1,4,2,5,0.001164,0.000095,0.001030,0.000153,0.001797,0.000278
1,4,2,6,0.001175,0.000085,0.001088,0.000167,0.001783,0.000286
1,4,2,7,0.001166,0.000086,0.001055,0.000151,0.001777,0.000279
1,4,2,8,0.001176,0.000090,0.001043,0.000155,0.001801,0.000305
1,4,2,9,0.001168,0.000084,0.001022,0.000148,0.001847,0.000296
1,4,2,10,0.001208,0.000090,0.001033,0.000191,0.001833,0.000314
1,8,4,1,0.002204,0.000094,0.001104,0.000170,0.002108,0.000388
1,8,4,2,0.002199,0.000404,0.001125,0.000165,0.002336,0.000438
1,8,4,3,0.003111,0.000087,0.001139,0.000183,0.002451,0.000422
1,8,4,4,0.002216,0.000086,0.001102,0.000198,0.002103,0.000381
1,8,4,5,0.002426,0.000210,0.001193,0.000233,0.002375,0.000418
1,8,4,6,0.002219,0.000086,0.001101,0.000179,0.002139,0.000410
1,8,4,7,0.002207,0.000084,0.001043,0.000170,0.002147,0.000408
1,8,4,8,0.002239,0.000084,0.001117,0.000172,0.002176,0.000379
1,8,4,9,0.002563,0.000085,0.001071,0.000381,0.002074,0.000373
1,8,4,10,0.002285,0.000523,0.001071,0.000179,0.002151,0.000384
10,4,2,1,0.017629,0.005158,0.011375,0.006270,0.016978,0.009455
10,4,2,2,0.017780,0.005979,0.010891,0.006523,0.016945,0.008400
10,4,2,3,0.013860,0.001302,0.010814,0.005516,0.016499,0.002540
10,4,2,4,0.012913,0.004889,0.010119,0.001806,0.016205,0.002751
10,4,2,5,0.011863,0.001309,0.010601,0.001746,0.016294,0.002591
10,4,2,6,0.011904,0.001297,0.010296,0.001705,0.017522,0.002729
10,4,2,7,0.011913,0.001325,0.010531,0.001936,0.016264,0.002633
10,4,2,8,0.011855,0.001343,0.010293,0.001715,0.016279,0.002702
10,4,2,9,0.011820,0.004884,0.010399,0.005334,0.016813,0.002735
10,4,2,10,0.011946,0.003085,0.010895,0.001905,0.016096,0.002533
10,8,4,1,0.023249,0.004914,0.011278,0.001829,0.016566,0.002565
10,8,4,2,0.021912,0.001325,0.011481,0.001641,0.017193,0.002752
10,8,4,3,0.022005,0.001352,0.011339,0.001754,0.016785,0.002798
10,8,4,4,0.021970,0.001300,0.010453,0.001844,0.016509,0.002842
10,8,4,5,0.022028,0.001302,0.010722,0.001844,0.016406,0.002724
10,8,4,6,0.022092,0.001303,0.010781,0.001740,0.016685,0.002790
10,8,4,7,0.022003,0.001311,0.010655,0.001931,0.016280,0.002683
10,8,4,8,0.021977,0.001295,0.010385,0.001819,0.016506,0.002767
10,8,4,9,0.021977,0.001296,0.010711,0.001862,0.016588,0.002715
10,8,4,10,0.021996,0.001317,0.010458,0.001829,0.016552,0.002757
10,10,4,1,0.022012,0.001330,0.010730,0.001961,0.015508,0.002595
10,10,4,2,0.021938,0.001985,0.010480,0.001813,0.016239,0.002678
10,10,4,3,0.021983,0.003052,0.010709,0.001793,0.015790,0.002613
10,10,4,4,0.021910,0.001305,0.010714,0.001878,0.015353,0.002582
10,10,4,5,0.021969,0.004913,0.010745,0.001704,0.015482,0.002612
10,10,4,6,0.021911,0.003098,0.010673,0.001875,0.015368,0.002516
10,10,4,7,0.021949,0.004913,0.010774,0.001742,0.015441,0.002614
10,10,4,8,0.021931,0.001333,0.010470,0.001872,0.015571,0.002695
10,10,4,9,0.021963,0.001306,0.010711,0.001819,0.015398,0.002620
10,10,4,10,0.021984,0.001301,0.010494,0.001739,0.015563,0.005398
50,4,2,1,0.085753,0.031816,0.050628,0.032071,0.083689,0.045682
50,4,2,2,0.093720,0.030764,0.052311,0.033520,0.081993,0.038033
50,4,2,3,0.094673,0.008854,0.054854,0.034165,0.080979,0.031666
50,4,2,4,0.090809,0.004229,0.065030,0.034445,0.084704,0.013366
50,4,2,5,0.078898,0.027728,0.051853,0.034773,0.082125,0.013233
50,4,2,6,0.057465,0.032378,0.054097,0.016210,0.089369,0.023948
50,4,2,7,0.074364,0.030854,0.054507,0.011460,0.084576,0.022854
50,4,2,8,0.057356,0.008895,0.057980,0.028828,0.083348,0.013492
50,4,2,9,0.067568,0.027054,0.055469,0.034089,0.082736,0.013502
50,4,2,10,0.073296,0.030978,0.056155,0.014459,0.083162,0.013367
50,8,4,1,0.108058,0.031797,0.063929,0.008774,0.089118,0.013766
50,8,4,2,0.110876,0.031497,0.052467,0.030370,0.084731,0.013553
50,8,4,3,0.113276,0.031479,0.052837,0.034889,0.084830,0.014359
50,8,4,4,0.107842,0.030746,0.054589,0.034296,0.086287,0.013908
50,8,4,5,0.107825,0.008608,0.053950,0.034454,0.084415,0.014381
50,8,4,6,0.129662,0.027525,0.055900,0.033799,0.086811,0.013975
50,8,4,7,0.108158,0.031997,0.052538,0.035097,0.091704,0.024354
50,8,4,8,0.118273,0.031928,0.054957,0.015266,0.087453,0.014216
50,8,4,9,0.107970,0.030846,0.054887,0.029710,0.087397,0.013871
50,8,4,10,0.110636,0.008825,0.055743,0.034041,0.085059,0.014064
50,10,4,1,0.127050,0.027226,0.055803,0.033998,0.078306,0.013090
50,10,4,2,0.107704,0.030911,0.054585,0.034462,0.083058,0.022929
50,10,4,3,0.116259,0.031994,0.055022,0.016153,0.082603,0.013314
50,10,4,4,0.107522,0.008862,0.054885,0.029820,0.079308,0.013154
50,10,4,5,0.116720,0.027173,0.055417,0.034380,0.079941,0.013555
50,10,4,6,0.107667,0.030877,0.056353,0.034096,0.089542,0.020822
50,10,4,7,0.116256,0.032259,0.055454,0.015467,0.079180,0.013135
50,10,4,8,0.107970,0.008900,0.055031,0.029784,0.081148,0.013392
50,10,4,9,0.107951,0.026424,0.055832,0.034059,0.079197,0.013176
50,10,4,10,0.107635,0.030985,0.055941,0.034043,0.079444,0.013139
100,4,2,1,0.170689,0.057520,0.115410,0.065029,0.170774,0.048307
100,4,2,2,0.178698,0.019642,0.114777,0.069334,0.169999,0.081473
100,4,2,3,0.178596,0.055143,0.124174,0.069850,0.177697,0.058445
100,4,2,4,0.182486,0.064536,0.116254,0.027100,0.176833,0.028540
100,4,2,5,0.115216,0.063449,0.115775,0.017955,0.186618,0.027979
100,4,2,6,0.125238,0.018332,0.117272,0.060835,0.172251,0.028023
100,4,2,7,0.145939,0.055220,0.116958,0.068804,0.175014,0.027380
100,4,2,8,0.114765,0.063733,0.116321,0.069439,0.179328,0.036059
100,4,2,9,0.136881,0.063063,0.112880,0.030619,0.170287,0.026456
100,4,2,10,0.114784,0.017642,0.113144,0.058016,0.175457,0.026718
100,8,4,1,0.249953,0.055072,0.128394,0.070193,0.170922,0.027271
100,8,4,2,0.237226,0.064659,0.112378,0.069663,0.168469,0.027803
100,8,4,3,0.217712,0.063935,0.116806,0.027025,0.172041,0.027515
100,8,4,4,0.216483,0.061861,0.123314,0.060202,0.169686,0.036479
