algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,1,128,10,0.001834,0.000363,0.002073,0.000510,0.001103,0.000116,0.000295,0.000218
AES,1,256,10,0.001992,0.000239,0.002096,0.000290,0.001045,0.000048,0.000215,0.000135
AES,10,128,10,0.018265,0.003684,0.021752,0.004692,0.010623,0.000155,0.003003,0.001964
AES,10,256,10,0.019905,0.002637,0.022397,0.003242,0.010674,0.000093,0.002297,0.001231
AES,50,128,10,0.128613,0.000680,0.161110,0.000805,0.058481,0.006034,0.034165,0.001262
AES,50,256,10,0.141982,0.000817,0.175488,0.002851,0.059716,0.006057,0.035288,0.001129
AES,100,128,10,0.257933,0.001132,0.324636,0.000495,0.115650,0.004702,0.068534,0.001461
AES,100,256,10,0.283219,0.001085,0.349172,0.000723,0.119129,0.007415,0.069403,0.001125
AES,1000,128,10,2.584410,0.015948,3.229286,0.021058,1.096837,0.030425,0.638749,0.023165
AES,1000,256,10,2.839872,0.011539,3.484326,0.018061,1.108437,0.040681,0.644275,0.004666
CHACHA20,1,256,10,0.002273,0.000269,0.002195,0.000130,0.001036,0.000051,0.008648,0.026863
CHACHA20,10,256,10,0.022879,0.002541,0.022946,0.001802,0.010020,0.000111,0.002370,0.001213
CHACHA20,50,256,10,0.156885,0.002011,0.156242,0.001674,0.054793,0.004710,0.033120,0.002322
CHACHA20,100,256,10,0.315219,0.002294,0.316605,0.001008,0.115119,0.002195,0.068572,0.001615
CHACHA20,1000,256,10,3.126095,0.014169,3.121500,0.013476,1.133841,0.038489,0.651588,0.028840
