algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,1,1,0.000536,0.001531,0.000798
SHA256,1,2,0.000521,0.001250,0.000851
SHA256,1,3,0.000535,0.001307,0.000677
SHA256,1,4,0.000522,0.001054,0.000175
SHA256,1,5,0.000517,0.001101,0.000158
SHA256,1,6,0.000516,0.001078,0.000169
SHA256,1,7,0.000529,0.001042,0.000149
SHA256,1,8,0.000534,0.001069,0.000153
SHA256,1,9,0.000518,0.001048,0.000151
SHA256,1,10,0.000528,0.001056,0.000145
SHA256,10,1,0.005081,0.011048,0.005906
SHA256,10,2,0.005075,0.009997,0.006007
SHA256,10,3,0.005068,0.010039,0.005237
SHA256,10,4,0.005096,0.010168,0.001724
SHA256,10,5,0.005079,0.010233,0.001824
SHA256,10,6,0.005080,0.010238,0.001739
SHA256,10,7,0.005060,0.010179,0.001670
SHA256,10,8,0.005065,0.010070,0.001833
SHA256,10,9,0.005103,0.010059,0.001788
SHA256,10,10,0.005084,0.010137,0.001872
SHA256,50,1,0.025316,0.064592,0.031337
SHA256,50,2,0.025288,0.066208,0.033528
SHA256,50,3,0.025335,0.066094,0.033720
SHA256,50,4,0.025357,0.049526,0.034953
SHA256,50,5,0.025288,0.055568,0.032706
SHA256,50,6,0.025249,0.063859,0.033607
SHA256,50,7,0.025218,0.068215,0.033669
SHA256,50,8,0.025341,0.050285,0.035352
SHA256,50,9,0.025310,0.053824,0.032816
SHA256,50,10,0.025313,0.053870,0.032748
SHA256,100,1,0.050679,0.123509,0.063969
SHA256,100,2,0.050575,0.126010,0.068247
SHA256,100,3,0.050680,0.116190,0.068154
SHA256,100,4,0.050643,0.114806,0.068491
SHA256,100,5,0.050401,0.127665,0.068448
SHA256,100,6,0.050363,0.114761,0.068578
SHA256,100,7,0.050410,0.114694,0.067414
SHA256,100,8,0.050604,0.136783,0.068548
SHA256,100,9,0.050483,0.115135,0.068320
SHA256,100,10,0.050652,0.109269,0.068199
SHA256,1000,1,0.506581,1.098617,0.576479
SHA256,1000,2,0.506109,1.126883,0.674043
SHA256,1000,3,0.506088,1.099636,0.663265
SHA256,1000,4,0.505376,1.189434,0.673621
SHA256,1000,5,0.505006,1.097613,0.661077
SHA256,1000,6,0.503798,1.204594,0.666596
SHA256,1000,7,0.505568,1.114024,0.663034
SHA256,1000,8,0.504800,1.134244,0.669397
SHA256,1000,9,0.505451,1.153232,0.661353
SHA256,1000,10,0.505058,1.126222,0.668657
SHA3_256,1,1,0.002157,0.001151,0.095161
SHA3_256,1,2,0.002087,0.001050,0.000148
SHA3_256,1,3,0.002139,0.001043,0.000150
SHA3_256,1,4,0.002105,0.001016,0.000156
SHA3_256,1,5,0.002072,0.001022,0.000184
SHA3_256,1,6,0.002074,0.001028,0.000150
SHA3_256,1,7,0.002115,0.001030,0.000148
SHA3_256,1,8,0.002095,0.001046,0.000148
SHA3_256,1,9,0.002107,0.001003,0.000146
SHA3_256,1,10,0.002065,0.001012,0.000160
SHA3_256,10,1,0.021246,0.010341,0.005493
SHA3_256,10,2,0.020862,0.010198,0.001776
SHA3_256,10,3,0.020883,0.010224,0.001826
SHA3_256,10,4,0.020955,0.010293,0.001714
SHA3_256,10,5,0.020738,0.010372,0.001836
SHA3_256,10,6,0.020727,0.010302,0.001713
SHA3_256,10,7,0.021072,0.010302,0.001781
