size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
1,4,2,1,0.001680,0.000290,0.000637,0.000437,0.001358,0.000722
1,4,2,2,0.001634,0.000333,0.000588,0.000384,0.001192,0.000658
1,4,2,3,0.001443,0.000093,0.000606,0.000388,0.001165,0.000270
1,4,2,4,0.001268,0.000177,0.000583,0.000181,0.001093,0.000275
1,4,2,5,0.001446,0.000101,0.000612,0.000228,0.001088,0.000270
1,4,2,6,0.001289,0.000101,0.000588,0.000164,0.001088,0.000274
1,4,2,7,0.001277,0.000105,0.000621,0.000197,0.001184,0.000265
1,4,2,8,0.001267,0.000108,0.000587,0.000194,0.001091,0.000289
1,4,2,9,0.001257,0.000104,0.000584,0.000182,0.001059,0.000257
1,4,2,10,0.001272,0.000102,0.000589,0.000156,0.001102,0.000284
1,4,2,11,0.001290,0.000096,0.000638,0.000214,0.001078,0.000249
1,4,2,12,0.001262,0.000261,0.000549,0.000158,0.001048,0.000251
1,4,2,13,0.001275,0.000105,0.000545,0.000188,0.001044,0.000262
1,4,2,14,0.001264,0.000106,0.000553,0.000179,0.001057,0.000255
1,4,2,15,0.001259,0.000177,0.000546,0.000158,0.001030,0.000260
1,4,2,16,0.001257,0.000106,0.000541,0.000153,0.001040,0.000273
1,4,2,17,0.001261,0.000104,0.000568,0.000182,0.001033,0.000285
1,4,2,18,0.001273,0.000114,0.000540,0.000178,0.001047,0.000249
1,4,2,19,0.001273,0.000102,0.000539,0.000160,0.001040,0.000253
1,4,2,20,0.001264,0.000111,0.000555,0.000156,0.001036,0.000267
1,4,2,21,0.001262,0.000103,0.000550,0.000183,0.001053,0.000252
1,4,2,22,0.001276,0.000103,0.000543,0.000180,0.001057,0.000246
1,4,2,23,0.001445,0.000100,0.000598,0.000265,0.001023,0.000246
1,4,2,24,0.001285,0.000218,0.000543,0.000163,0.000991,0.000253
1,4,2,25,0.001258,0.000102,0.000579,0.000163,0.001028,0.000258
1,4,2,26,0.001269,0.000106,0.000551,0.000154,0.001034,0.000260
1,4,2,27,0.001258,0.000218,0.000560,0.000185,0.001055,0.000257
1,4,2,28,0.001262,0.000107,0.000544,0.000151,0.001036,0.000254
1,4,2,29,0.001269,0.000107,0.000558,0.000183,0.001035,0.000258
1,4,2,30,0.001259,0.000273,0.000553,0.000178,0.001062,0.000248
1,4,2,31,0.001273,0.000104,0.000557,0.000184,0.001058,0.000248
1,8,4,1,0.002346,0.000108,0.000558,0.000150,0.001187,0.000315
1,8,4,2,0.002353,0.000106,0.000551,0.000178,0.001230,0.000309
1,8,4,3,0.002351,0.000102,0.000564,0.000188,0.001219,0.000311
1,8,4,4,0.002457,0.000321,0.000655,0.000243,0.001405,0.000431
1,8,4,5,0.002504,0.000117,0.000553,0.000244,0.001199,0.000308
1,8,4,6,0.002354,0.000286,0.000552,0.000176,0.001206,0.000312
1,8,4,7,0.002355,0.000104,0.000559,0.000173,0.001220,0.000315
1,8,4,8,0.002532,0.000314,0.000550,0.000304,0.001227,0.000303
1,8,4,9,0.002344,0.000107,0.000563,0.000157,0.001217,0.000314
1,8,4,10,0.002348,0.000103,0.000565,0.000158,0.001206,0.000295
