algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
BLAKE3,1,31,0.000585,0.000196,1709.11,0.001107,0.000348,0.001440,0.006942
BLAKE3,10,31,0.002795,0.000027,3577.94,0.005676,0.000092,0.001856,0.000277
BLAKE3,50,31,0.014357,0.000341,3482.60,0.071740,0.151444,0.023548,0.000719
BLAKE3,100,31,0.028428,0.000060,3517.64,0.090358,0.005541,0.045916,0.001152
BLAKE3,1000,31,0.280774,0.004691,3561.59,1.619174,1.953165,0.411408,0.009559
HMAC_SHA256,1,31,0.000559,0.000004,1788.85,0.000515,0.000034,0.001416,0.007010
HMAC_SHA256,10,31,0.005505,0.000284,1816.58,0.006053,0.000178,0.002188,0.000245
HMAC_SHA256,50,31,0.026674,0.000056,1874.51,0.374411,0.139811,0.024024,0.000353
HMAC_SHA256,100,31,0.053352,0.000242,1874.33,0.243174,0.273217,0.045367,0.000628
HMAC_SHA256,1000,31,0.532527,0.000629,1877.84,2.277914,2.742050,0.413566,0.008918
SHA256,1,31,0.000555,0.000013,1801.59,0.000580,0.000098,0.000231,0.000195
SHA256,10,31,0.005442,0.000023,1837.51,0.006125,0.000308,0.002369,0.000695
SHA256,50,31,0.026685,0.000062,1873.68,0.358632,0.160373,0.023787,0.000326
SHA256,100,31,0.053305,0.000279,1876.00,0.270477,0.323759,0.045249,0.000550
SHA256,1000,31,0.532055,0.000415,1879.50,2.242882,2.660695,0.412902,0.008993
SHA3_256,1,31,0.002223,0.000038,449.79,0.000516,0.000034,0.001423,0.007041
SHA3_256,10,31,0.022056,0.000268,453.40,0.005659,0.000132,0.001967,0.000338
SHA3_256,50,31,0.109699,0.000874,455.79,0.032814,0.007661,0.022772,0.000827
SHA3_256,100,31,0.219809,0.001634,454.94,0.575895,0.327331,0.045297,0.000513
SHA3_256,1000,31,2.195352,0.010488,455.51,2.254090,2.307717,0.414039,0.008888
