machine_id,machine_name,hardware_profile,dataset,rows,sizes_mb,algorithms
c3,C3,hpc,cost-efficiency.csv,25,1|10|50|100|1000,BZ2|LZ4|LZMA|ZLIB|ZSTD
c3,C3,hpc,integrity.csv,20,1|10|50|100|1000,BLAKE3|HMAC_SHA256|SHA256|SHA3_256
c3,C3,hpc,confidentiality.csv,15,1|10|50|100|1000,AES|CHACHA20
c3,C3,hpc,reliability.csv,15,1|10|50|100|1000,RS
toge,Toge,raspberry_pi_5,cost-efficiency.csv,25,1|10|50|100|1000,BZ2|LZ4|LZMA|ZLIB|ZSTD
toge,Toge,raspberry_pi_5,integrity.csv,20,1|10|50|100|1000,BLAKE3|HMAC_SHA256|SHA256|SHA3_256
toge,Toge,raspberry_pi_5,confidentiality.csv,15,1|10|50|100|1000,AES|CHACHA20
toge,Toge,raspberry_pi_5,reliability.csv,15,1|10|50|100|1000,RS
dianalap,DianaLap,personal_laptop,cost-efficiency.csv,25,1|10|50|100|1000,BZ2|LZ4|LZMA|ZLIB|ZSTD
dianalap,DianaLap,personal_laptop,integrity.csv,20,1|10|50|100|1000,BLAKE3|HMAC_SHA256|SHA256|SHA3_256
dianalap,DianaLap,personal_laptop,confidentiality.csv,15,1|10|50|100|1000,AES|CHACHA20
dianalap,DianaLap,personal_laptop,reliability.csv,15,1|10|50|100|1000,RS
dantelap,DanteLap,personal_laptop_with_gpu,cost-efficiency.csv,25,1|10|50|100|1000,BZ2|LZ4|LZMA|ZLIB|ZSTD
dantelap,DanteLap,personal_laptop_with_gpu,integrity.csv,20,1|10|50|100|1000,BLAKE3|HMAC_SHA256|SHA256|SHA3_256
dantelap,DanteLap,personal_laptop_with_gpu,confidentiality.csv,15,1|10|50|100|1000,AES|CHACHA20
dantelap,DanteLap,personal_laptop_with_gpu,reliability.csv,15,1|10|50|100|1000,RS
