size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
1,4,2,1,0.001662,0.000343,0.000261,0.000410,0.000565,0.000697
1,4,2,2,0.001517,0.000361,0.000219,0.000499,0.000515,0.000695
1,4,2,3,0.001375,0.000276,0.000198,0.000440,0.000543,0.000631
1,4,2,4,0.001334,0.000289,0.000258,0.000276,0.000603,0.000585
1,4,2,5,0.001350,0.000265,0.000268,0.000298,0.000533,0.000587
1,4,2,6,0.001336,0.000264,0.000222,0.000346,0.000575,0.000575
1,4,2,7,0.001335,0.000260,0.000217,0.000364,0.000559,0.000597
1,4,2,8,0.001324,0.000266,0.000257,0.000256,0.000544,0.000596
1,4,2,9,0.001334,0.000282,0.000235,0.000332,0.000549,0.000588
1,4,2,10,0.001316,0.000267,0.000265,0.000274,0.000542,0.000614
1,4,2,11,0.001325,0.000256,0.000254,0.000281,0.000581,0.000582
1,4,2,12,0.001367,0.000332,0.000245,0.000322,0.000550,0.000575
1,4,2,13,0.001349,0.000252,0.000250,0.000316,0.000550,0.000569
1,4,2,14,0.001393,0.000269,0.000242,0.000326,0.000571,0.000573
1,4,2,15,0.001323,0.000305,0.000253,0.000323,0.000534,0.000565
1,4,2,16,0.001334,0.000257,0.000249,0.000341,0.000547,0.000561
1,4,2,17,0.001327,0.000262,0.000258,0.000268,0.000554,0.000617
1,4,2,18,0.001324,0.000266,0.000239,0.000315,0.000594,0.000565
1,4,2,19,0.001351,0.000278,0.000242,0.000271,0.000521,0.000581
1,4,2,20,0.001363,0.000264,0.000243,0.000301,0.000551,0.000575
1,4,2,21,0.001348,0.000258,0.000239,0.000284,0.000566,0.000575
1,4,2,22,0.001334,0.000273,0.000239,0.000351,0.000542,0.000583
1,4,2,23,0.001384,0.000273,0.000222,0.000415,0.000516,0.000599
1,4,2,24,0.001353,0.000299,0.000245,0.000319,0.000553,0.000608
1,4,2,25,0.001323,0.000254,0.000247,0.000327,0.000624,0.000561
1,4,2,26,0.001348,0.000268,0.000237,0.000330,0.000571,0.000590
1,4,2,27,0.001371,0.000292,0.000234,0.000309,0.000589,0.000570
1,4,2,28,0.001338,0.000262,0.000270,0.000324,0.000573,0.000585
1,4,2,29,0.001328,0.000267,0.000239,0.000342,0.000552,0.000603
1,4,2,30,0.001333,0.000330,0.000244,0.000300,0.000557,0.000579
1,4,2,31,0.001338,0.000265,0.000259,0.000352,0.000567,0.000606
1,8,4,1,0.002447,0.000274,0.000250,0.000323,0.000609,0.000633
1,8,4,2,0.002426,0.000268,0.000246,0.000321,0.000597,0.000655
1,8,4,3,0.002438,0.000263,0.000251,0.000269,0.000574,0.000628
1,8,4,4,0.002436,0.000383,0.000246,0.000290,0.000684,0.000699
1,8,4,5,0.002455,0.000330,0.000317,0.000313,0.000630,0.000696
1,8,4,6,0.002418,0.000341,0.000303,0.000322,0.000642,0.000632
1,8,4,7,0.002455,0.000260,0.000261,0.000315,0.000613,0.000639
1,8,4,8,0.002478,0.000361,0.000243,0.000430,0.000607,0.000625
1,8,4,9,0.002442,0.000272,0.000256,0.000326,0.000594,0.000620
1,8,4,10,0.002430,0.000259,0.000246,0.000270,0.000615,0.000634
1,8,4,11,0.002422,0.000263,0.000237,0.000330,0.000627,0.000627
1,8,4,12,0.002487,0.000359,0.000244,0.000410,0.000618,0.000645
1,8,4,13,0.002423,0.000276,0.000268,0.000332,0.000597,0.000629
1,8,4,14,0.002425,0.000267,0.000248,0.000261,0.000561,0.000676
1,8,4,15,0.002447,0.000263,0.000215,0.000331,0.000610,0.000635
1,8,4,16,0.002542,0.000363,0.000338,0.000419,0.000570,0.000662
1,8,4,17,0.002457,0.000274,0.000296,0.000343,0.000610,0.000633
1,8,4,18,0.002437,0.000266,0.000233,0.000335,0.000622,0.000627
1,8,4,19,0.002452,0.000267,0.000224,0.000345,0.000610,0.000633
1,8,4,20,0.002515,0.000279,0.000252,0.000337,0.000574,0.000660
1,8,4,21,0.002451,0.000355,0.000248,0.000294,0.000591,0.000629
1,8,4,22,0.002435,0.000275,0.000264,0.000364,0.000610,0.000630
1,8,4,23,0.002432,0.000268,0.000245,0.000269,0.000575,0.000626
1,8,4,24,0.002407,0.000274,0.000246,0.000329,0.000631,0.000627
1,8,4,25,0.002442,0.000281,0.000258,0.000268,0.000579,0.000622
1,8,4,26,0.002414,0.000281,0.000259,0.000318,0.000645,0.000634
1,8,4,27,0.002449,0.000297,0.000234,0.000335,0.000582,0.000616
1,8,4,28,0.002411,0.000265,0.000254,0.000305,0.000586,0.000667
1,8,4,29,0.002434,0.000277,0.000248,0.000269,0.000585,0.000628
1,8,4,30,0.002427,0.000292,0.000254,0.000322,0.000587,0.000661
1,8,4,31,0.002435,0.000271,0.000271,0.000296,0.000602,0.000630
10,4,2,1,0.015017,0.003264,0.004003,0.003607,0.005649,0.006051
10,4,2,2,0.015159,0.003281,0.003830,0.003796,0.005880,0.005732
10,4,2,3,0.013488,0.002243,0.003971,0.003596,0.005495,0.005282
10,4,2,4,0.013603,0.002353,0.004056,0.003306,0.005721,0.005214
10,4,2,5,0.013818,0.002544,0.003635,0.003416,0.005431,0.004990
10,4,2,6,0.013877,0.003033,0.003502,0.003504,0.005407,0.005283
10,4,2,7,0.014042,0.002545,0.003318,0.003542,0.005398,0.005310
10,4,2,8,0.013943,0.002606,0.003286,0.003466,0.005467,0.005281
10,4,2,9,0.014011,0.002554,0.003302,0.003500,0.005505,0.005386
