algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,1,1,0.000739,0.000226,0.000488
SHA256,1,2,0.000709,0.000201,0.000480
SHA256,1,3,0.000707,0.000234,0.000453
SHA256,1,4,0.000704,0.000269,0.000340
SHA256,1,5,0.000705,0.000273,0.000374
SHA256,1,6,0.000701,0.000268,0.000251
SHA256,1,7,0.000735,0.000193,0.000242
SHA256,1,8,0.000698,0.000258,0.000219
SHA256,1,9,0.000703,0.000262,0.000241
SHA256,1,10,0.000699,0.000233,0.000270
SHA256,1,11,0.000697,0.000263,0.000226
SHA256,1,12,0.000717,0.000267,0.000246
SHA256,1,13,0.000697,0.000242,0.000239
SHA256,1,14,0.000700,0.000242,0.000229
SHA256,1,15,0.000701,0.000237,0.000288
SHA256,1,16,0.000703,0.000268,0.000245
SHA256,1,17,0.000714,0.000279,0.000238
SHA256,1,18,0.000702,0.000250,0.000239
SHA256,1,19,0.000700,0.000232,0.000218
SHA256,1,20,0.000702,0.000248,0.000247
SHA256,1,21,0.000700,0.000233,0.000233
SHA256,1,22,0.000722,0.000244,0.000230
SHA256,1,23,0.000702,0.000251,0.000241
SHA256,1,24,0.000703,0.000248,0.000245
SHA256,1,25,0.000703,0.000272,0.000228
SHA256,1,26,0.000701,0.000232,0.000235
SHA256,1,27,0.000715,0.000233,0.000238
SHA256,1,28,0.000704,0.000260,0.000227
SHA256,1,29,0.000702,0.000247,0.000228
SHA256,1,30,0.000702,0.000246,0.000260
SHA256,1,31,0.000704,0.000231,0.000217
SHA256,10,1,0.006889,0.003542,0.003637
SHA256,10,2,0.006889,0.003307,0.003683
SHA256,10,3,0.006896,0.003238,0.003380
SHA256,10,4,0.006865,0.003245,0.002940
SHA256,10,5,0.006882,0.003151,0.002981
SHA256,10,6,0.006870,0.003075,0.002987
SHA256,10,7,0.006864,0.003039,0.002885
SHA256,10,8,0.006867,0.003015,0.002964
SHA256,10,9,0.006867,0.002973,0.002981
SHA256,10,10,0.006863,0.002985,0.002789
SHA256,10,11,0.006861,0.003016,0.002872
SHA256,10,12,0.006860,0.003009,0.002881
SHA256,10,13,0.006856,0.003091,0.002946
SHA256,10,14,0.006864,0.003015,0.002946
SHA256,10,15,0.006859,0.003006,0.002942
SHA256,10,16,0.006863,0.002945,0.002854
SHA256,10,17,0.006860,0.002918,0.002970
SHA256,10,18,0.006855,0.002969,0.002876
SHA256,10,19,0.006851,0.002983,0.002783
SHA256,10,20,0.006859,0.002947,0.002854
SHA256,10,21,0.006860,0.003033,0.002902
SHA256,10,22,0.006867,0.003532,0.003026
SHA256,10,23,0.006864,0.003153,0.003084
SHA256,10,24,0.006865,0.003083,0.003064
SHA256,10,25,0.006867,0.003055,0.002914
SHA256,10,26,0.006867,0.003050,0.002933
SHA256,10,27,0.006867,0.003048,0.002874
SHA256,10,28,0.006860,0.003025,0.002806
SHA256,10,29,0.006864,0.003014,0.002924
SHA256,10,30,0.006860,0.002979,0.002927
SHA256,10,31,0.006856,0.003000,0.002892
SHA256,50,1,0.034237,0.017150,0.018134
SHA256,50,2,0.034229,0.017906,0.018575
SHA256,50,3,0.034254,0.017919,0.018440
SHA256,50,4,0.034224,0.018031,0.018577
SHA256,50,5,0.034213,0.018001,0.018451
SHA256,50,6,0.034237,0.017944,0.018536
SHA256,50,7,0.034225,0.017907,0.018440
SHA256,50,8,0.034229,0.017920,0.018493
SHA256,50,9,0.034232,0.017982,0.018590
SHA256,50,10,0.034212,0.018013,0.018527
SHA256,50,11,0.034275,0.018013,0.018440
SHA256,50,12,0.034220,0.017914,0.018536
SHA256,50,13,0.034267,0.017958,0.018395
SHA256,50,14,0.034223,0.018244,0.018547
SHA256,50,15,0.034224,0.018113,0.018447
SHA256,50,16,0.034231,0.018048,0.018520
SHA256,50,17,0.034234,0.018571,0.019664
SHA256,50,18,0.034281,0.017978,0.018552
SHA256,50,19,0.034216,0.018908,0.018475
SHA256,50,20,0.034218,0.018012,0.018515
SHA256,50,21,0.034228,0.018000,0.018357
SHA256,50,22,0.034264,0.017816,0.018365
SHA256,50,23,0.034216,0.018008,0.018348
SHA256,50,24,0.034290,0.017961,0.018657
SHA256,50,25,0.034296,0.018021,0.018362
SHA256,50,26,0.034219,0.017914,0.018552
SHA256,50,27,0.034251,0.017901,0.018558
SHA256,50,28,0.034245,0.017996,0.018533
SHA256,50,29,0.034234,0.018040,0.018403
SHA256,50,30,0.034272,0.018019,0.018518
SHA256,50,31,0.034251,0.017984,0.018362
SHA256,100,1,0.068394,0.035382,0.034641
SHA256,100,2,0.068400,0.035550,0.035692
SHA256,100,3,0.068431,0.035181,0.035020
SHA256,100,4,0.068431,0.035470,0.035618
SHA256,100,5,0.068387,0.036324,0.035587
SHA256,100,6,0.068385,0.035432,0.035602
SHA256,100,7,0.068410,0.035392,0.035310
SHA256,100,8,0.068383,0.035415,0.035639
SHA256,100,9,0.068393,0.035154,0.034905
SHA256,100,10,0.068442,0.035325,0.035967
SHA256,100,11,0.068447,0.035316,0.034926
SHA256,100,12,0.068411,0.035621,0.035637
